AE_CODE,DT_DEBUT,NS_ETAB_ID,DGSP_CODE,DT_FIN,CP_LOC_COM_IMPL,NOM_ETAB,TELEPHONE_ETAB,PROV_ETAB,DGSP_OBJ_ID,URL_ETAB,FOR_OBJ_ID,NUMERO_FASE_ETAB,AE_NOM,ADRS_IMPL,_version_,TE_INTITULE,RESEAU,id,CO_ANNEE_ETUDES,NS_SA_ID
1 D2 3 G,2014-09-01,144,1 D2 G,9999-12-31,1020 - BRUXELLES - LAEKEN,INSTITUT MARIS STELLA,02-478 63 95,BRUXELLES-CAPITALE,49,,39,144,Type 1 deuxième degré troisième général transition,Rue Félix Sterckx 44 ,"1,7330330760653E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,180303,1 D2 3 G,180303
1 D2 3 P,2014-09-01,145,1 D2 P,9999-12-31,1000 - BRUXELLES - BRUXELLES,INSTITUT BISCHOFFSHEIM,02-250 07 00,BRUXELLES-CAPITALE,50,,42,145,Type 1 deuxième degré troisième professionnel qualification,Rue du Canal 53 ,"1,73303307606845E+018",CONFECTION,Subventionné communal,180262,1 D2 3 P,180262
R D2 3 P,2014-09-01,152,R D2 P,2021-08-31,1000 - BRUXELLES - BRUXELLES,INSTITUT DES ARTS ET METIERS,02-279 52 20,BRUXELLES-CAPITALE,53,,42,152,C.E.F.A. deuxième degré troisième professionnel qualification,Boulevard de l'Abattoir 50 ,"1,73303307607579E+018",COIFFURE,Subventionné communal,180189,R D2 3 P,180189
1 D2 3 AT,2014-09-01,179,1 D2 AT,9999-12-31,1000 - BRUXELLES - BRUXELLES,ACADEMIE ROYALE DES BEAUX-ARTS DE BRUXELLES,02-274 05 90,BRUXELLES-CAPITALE,48,,41,179,Type 1 deuxième degré troisième artistique transition,Rue du Poinçon 28 ,"1,73303307608313E+018",LANGUE MODERNE I NEERLANDAIS,Subventionné communal,180473,1 D2 3 AT,180473
1 D2 3 P,2014-09-01,185,1 D2 P,9999-12-31,1020 - BRUXELLES - LAEKEN,INSTITUT NOTRE-DAME DE LOURDES,02-424 09 23,BRUXELLES-CAPITALE,50,,42,185,Type 1 deuxième degré troisième professionnel qualification,Rue Edmond Tollenaere 32 ,"1,73303307608418E+018",VENTE,Libre confessionnel,180037,1 D2 3 P,180037
1 D2 3 G,2014-09-01,208,1 D2 G,9999-12-31,1210 - SAINT-JOSSE-TEN-NOODE - SAINT-JOSSE-TEN-NOODE,Centre scolaire Saint-Michel,02 739 34 16,BRUXELLES-CAPITALE,49,,39,208,Type 1 deuxième degré troisième général transition,Rue Godefroid de Bouillon 55 ,"1,73303307608732E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,180526,1 D2 3 G,180526
1 D2 3 G,2014-09-01,209,1 D2 G,9999-12-31,1040 - ETTERBEEK - ETTERBEEK,INSTITUT SAINT-JOSEPH D'ENSEIGNEMENT TECHNIQUE,02-735 81 10,BRUXELLES-CAPITALE,49,,39,209,Type 1 deuxième degré troisième général transition,Rue Félix Hap 14 ,"1,73303307609467E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,179995,1 D2 3 G,179995
1 D2 3 P,2014-09-01,210,1 D2 P,9999-12-31,1040 - ETTERBEEK - ETTERBEEK,Centre d'enseignement secondaire d'Etterbeek Ernest Richard,02-734 28 09,BRUXELLES-CAPITALE,50,,42,210,Type 1 deuxième degré troisième professionnel qualification,Rue Joseph Buedts 18 ,"1,7330330761062E+018",TRAVAUX DE BUREAU,Subventionné communal,180502,1 D2 3 P,180502
1 D2 3 P,2014-09-01,211,1 D2 P,9999-12-31,7070 - LE ROEULX - LE ROEULX,Institut Reine Fabiola Enseignement professionnel,02-629 00 40,HAINAUT,50,,42,211,Type 1 deuxième degré troisième professionnel qualification,RUE DES SAULES 40 ,"1,73303307611354E+018",SERVICES SOCIAUX,Libre non confessionnel,180594,1 D2 3 P,180594
1 D2 3 G,2014-09-01,212,1 D2 G,9999-12-31,1040 - ETTERBEEK - ETTERBEEK,ATHENEE ROYAL JEAN ABSIL,02-736 59 76,BRUXELLES-CAPITALE,49,,39,212,Type 1 deuxième degré troisième général transition,Avenue Hansen-Soulie 27 ,"1,73303307611459E+018",LANGUE MODERNE II ANGLAIS,WBE,2123,1 D2 3 G,2123
1 D2 3 G,2014-09-01,213,1 D2 G,9999-12-31,1040 - ETTERBEEK - ETTERBEEK,INSTITUT DE L'ENFANT-JESUS,02-230 46 04,BRUXELLES-CAPITALE,49,,39,213,Type 1 deuxième degré troisième général transition,Rue Général Leman 74 ,"1,73303307611878E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,180546,1 D2 3 G,180546
1 D2 3 G,2014-09-01,214,1 D2 G,9999-12-31,1040 - ETTERBEEK - ETTERBEEK,INSTITUT SAINT-STANISLAS,02-735 56 31,BRUXELLES-CAPITALE,49,,39,214,Type 1 deuxième degré troisième général transition,Avenue des Nerviens 131 ,"1,73303307612193E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,180579,1 D2 3 G,180579
1 D2 3 G,2014-09-01,222,1 D2 G,9999-12-31,1030 - SCHAERBEEK - SCHAERBEEK,COLLEGE ROI BAUDOUIN,02-734 95 16,BRUXELLES-CAPITALE,49,,39,222,Type 1 deuxième degré troisième général transition,Rue Victor Hugo 110 ,"1,73303307612403E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,181365,1 D2 3 G,181365
1 D2 3 G,2014-09-01,231,1 D2 G,9999-12-31,1070 - ANDERLECHT - ANDERLECHT,ATHENEE ROYAL D'EVERE,02-701 97 11,BRUXELLES-CAPITALE,49,,39,231,Type 1 deuxième degré troisième général transition,Rue Bara 154/160 ,"1,73303307612717E+018",LANGUE MODERNE II ANGLAIS,WBE,552,1 D2 3 G,552
1 D2 3 G,2014-09-01,246,1 D2 G,9999-12-31,1190 - FOREST - FOREST,ATHENEE ROYAL ANDREE THOMAS,02-344 69 77,BRUXELLES-CAPITALE,49,,39,246,Type 1 deuxième degré troisième général transition,Avenue Reine Marie-Henriette 47 ,"1,73303307614604E+018",LANGUE MODERNE II ANGLAIS,WBE,2143,1 D2 3 G,2143
1 D2 3 G,2014-09-01,249,1 D2 G,9999-12-31,1190 - FOREST - FOREST,INSTITUT SAINTE-URSULE,02-344 12 88,BRUXELLES-CAPITALE,49,,39,249,Type 1 deuxième degré troisième général transition,Avenue des Armures 39 ,"1,73303307614814E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,180614,1 D2 3 G,180614
1 D2 3 G,2014-09-01,261,1 D2 G,9999-12-31,1083 - GANSHOREN - GANSHOREN,COLLEGE DU SACRE-COEUR,02-425 87 22,BRUXELLES-CAPITALE,49,,39,261,Type 1 deuxième degré troisième général transition,Rue Louis Delhove 65 ,"1,73303307615024E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,180630,1 D2 3 G,180630
1 D2 3 G,2014-09-01,262,1 D2 G,9999-12-31,1083 - GANSHOREN - GANSHOREN,CENTRE SCOLAIRE NOTRE-DAME DE LA SAGESSE,02-428 11 27,BRUXELLES-CAPITALE,49,,39,262,Type 1 deuxième degré troisième général transition,Avenue Van Overbeke 10 ,"1,73303307615339E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,180644,1 D2 3 G,180644
1 D2 3 G,2014-09-01,263,1 D2 G,9999-12-31,1083 - GANSHOREN - GANSHOREN,ATHENEE ROYAL DE GANSHOREN,02-426 83 00,BRUXELLES-CAPITALE,49,,39,263,Type 1 deuxième degré troisième général transition,Rue Auguste De Cock 1 ,"1,73303307615548E+018",LANGUE MODERNE II ANGLAIS,WBE,614,1 D2 3 G,614
1 D2 3 G,2014-09-01,282,1 D2 G,9999-12-31,1050 - IXELLES - IXELLES,INSTITUT SAINT-BONIFACE- PARNASSE,02-511 53 49,BRUXELLES-CAPITALE,49,,39,282,Type 1 deuxième degré troisième général transition,Rue du Viaduc 82 ,"1,73303307615758E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,180755,1 D2 3 G,180755
1 D2 3 G,2014-09-01,283,1 D2 G,9999-12-31,1050 - IXELLES - IXELLES,CENTRE SCOLAIRE DE MA CAMPAGNE,02-538 08 38,BRUXELLES-CAPITALE,49,,39,283,Type 1 deuxième degré troisième général transition,Rue Africaine 3 ,"1,73303307616177E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,180771,1 D2 3 G,180771
1 D2 3 G,2014-09-01,286,1 D2 G,9999-12-31,1050 - IXELLES - IXELLES,Collège Saint-Vincent - Saint-François,02-648 10 70,BRUXELLES-CAPITALE,49,,39,286,Type 1 deuxième degré troisième général transition,Rue des Merisiers 7 ,"1,73303307617016E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,180944,1 D2 3 G,180944
1 D2 3 G,2014-09-01,287,1 D2 G,9999-12-31,1050 - IXELLES - IXELLES,INSTITUT SAINT-ANDRE,02-648 62 88,BRUXELLES-CAPITALE,49,,39,287,Type 1 deuxième degré troisième général transition,Avenue de l'Hippodrome 180 ,"1,73303307618065E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,180664,1 D2 3 G,180664
1 D2 3 P,2014-09-01,288,1 D2 P,2021-08-31,1050 - IXELLES - IXELLES,CENTRE SCOLAIRE EPERONNIERS-MERCELIS,02-512 60 98,BRUXELLES-CAPITALE,50,,42,288,Type 1 deuxième degré troisième professionnel qualification,Rue Mercelis 36-38 ,"1,73303307618484E+018",SERVICES SOCIAUX,Libre confessionnel,180712,1 D2 3 P,180712
1 D2 3 P,2014-09-01,289,1 D2 P,9999-12-31,1050 - IXELLES - IXELLES,INSTITUT TECHNIQUE RENE CARTIGNY,02-515 75 75,BRUXELLES-CAPITALE,50,,42,289,Type 1 deuxième degré troisième professionnel qualification,Place de la Petite Suisse 4 ,"1,73303307622364E+018",ELECTRICITE,Subventionné communal,180807,1 D2 3 P,180807
1 D2 3 G,2014-09-01,290,1 D2 G,9999-12-31,1050 - IXELLES - IXELLES,ATHENEE COMMUNAL CHARLES JANSSENS,02-515 75 64,BRUXELLES-CAPITALE,49,,39,290,Type 1 deuxième degré troisième général transition,Place de Londres 5 ,"1,73303307622783E+018",LANGUE MODERNE I NEERLANDAIS,Subventionné communal,180681,1 D2 3 G,180681
1 D2 3 G,2014-09-01,291,1 D2 G,9999-12-31,1050 - IXELLES - IXELLES,CENTRE SCOLAIRE SAINT-ADRIEN - VAL DUCHESSE,02-672 36 08,BRUXELLES-CAPITALE,49,,39,291,Type 1 deuxième degré troisième général transition,Schoolgat 5 ,"1,73303307623308E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,180831,1 D2 3 G,180831
1 D2 3 G,2014-09-01,317,1 D2 G,9999-12-31,1090 - JETTE - JETTE,ATHENEE ROYAL DE JETTE,02-426 05 29,BRUXELLES-CAPITALE,49,,39,317,Type 1 deuxième degré troisième général transition,Avenue de Levis Mirepoix 100 ,"1,73303307624251E+018",LANGUE MODERNE II ANGLAIS,WBE,2714,1 D2 3 G,2714
1 D2 3 G,2014-09-01,318,1 D2 G,9999-12-31,1090 - JETTE - JETTE,Centre scolaire du Sacré-Coeur - Section Humanités,02-478 71 90,BRUXELLES-CAPITALE,49,,39,318,Type 1 deuxième degré troisième général transition,Avenue du Sacré-Coeur 8 ,"1,73303307624461E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,180997,1 D2 3 G,180997
1 D2 3 G,2014-09-01,319,1 D2 G,9999-12-31,1090 - JETTE - JETTE,COLLEGE SAINT-PIERRE,02-421 43 30,BRUXELLES-CAPITALE,49,,39,319,Type 1 deuxième degré troisième général transition,Rue Jean-Baptiste Verbeyst 25 ,"1,73303307624671E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,180980,1 D2 3 G,180980
1 D2 3 G,2014-09-01,326,1 D2 G,9999-12-31,1081 - KOEKELBERG - KOEKELBERG,ATHENEE ROYAL DE KOEKELBERG,02-414 77 28,BRUXELLES-CAPITALE,49,,39,326,Type 1 deuxième degré troisième général transition,Rue Omer Lepreux 15 ,"1,7330330762509E+018",LANGUE MODERNE II ANGLAIS,WBE,2167,1 D2 3 G,2167
1 D2 3 P,2014-09-01,327,1 D2 P,9999-12-31,1081 - KOEKELBERG - KOEKELBERG,INSTITUT DES URSULINES,02-414 11 11,BRUXELLES-CAPITALE,50,,42,327,Type 1 deuxième degré troisième professionnel qualification,RUE JULES DEBECKER 71 ,"1,733033076253E+018",TRAVAUX DE BUREAU,Libre confessionnel,181011,1 D2 3 P,181011
1 D2 3 G,2014-09-01,347,1 D2 G,9999-12-31,1080 - MOLENBEEK-SAINT-JEAN - MOLENBEEK-SAINT-JEAN,ATHENEE ROYAL DU SIPPELBERG,02-414 35 75,BRUXELLES-CAPITALE,49,,39,347,Type 1 deuxième degré troisième général transition,Rue de la Prospérité 14 ,"1,73303307626244E+018",LANGUE MODERNE II ANGLAIS,WBE,2184,1 D2 3 G,2184
1 D2 3 G,2014-09-01,352,1 D2 G,9999-12-31,7070 - LE ROEULX - LE ROEULX,Campus Saint-Jean,02-412 04 80,BRUXELLES-CAPITALE,49,,39,352,Type 1 deuxième degré troisième général transition,RUE PAUL JANSON 26 ,"1,73303307626768E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,181038,1 D2 3 G,181038
1 D2 3 G,2014-09-01,365,1 D2 G,9999-12-31,1190 - FOREST - FOREST,ATHENEE ROYAL VICTOR HORTA,02-538 27 42,BRUXELLES-CAPITALE,49,,39,365,Type 1 deuxième degré troisième général transition,Rue des Alliés 233 ,"1,73303307627187E+018",LANGUE MODERNE II ANGLAIS,WBE,2215,1 D2 3 G,2215
1 D2 3 G,2014-09-01,366,1 D2 G,9999-12-31,1060 - SAINT-GILLES - SAINT-GILLES,INSTITUT DES FILLES DE MARIE,02-537 78 51,BRUXELLES-CAPITALE,49,,39,366,Type 1 deuxième degré troisième général transition,Rue Théodore Verhaegen 8 ,"1,73303307627712E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,181111,1 D2 3 G,181111
1 D2 3 G,2014-09-01,367,1 D2 G,9999-12-31,1060 - SAINT-GILLES - SAINT-GILLES,INSTITUT SAINT-JEAN-BAPTISTE DE LA SALLE,02-537 12 43,BRUXELLES-CAPITALE,49,,39,367,Type 1 deuxième degré troisième général transition,Rue Moris 19 ,"1,73303307628026E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,181136,1 D2 3 G,181136
1 D2 3 P,2014-09-01,368,1 D2 P,9999-12-31,1060 - SAINT-GILLES - SAINT-GILLES,INSTITUT SAINTE-MARIE,02-537 41 18,BRUXELLES-CAPITALE,50,,42,368,Type 1 deuxième degré troisième professionnel qualification,Rue Emile Feron 5 ,"1,73303307628341E+018",ARTS APPLIQUES,Libre confessionnel,181066,1 D2 3 P,181066
1 D2 3 G,2014-09-01,388,1 D2 G,9999-12-31,1210 - SAINT-JOSSE-TEN-NOODE - SAINT-JOSSE-TEN-NOODE,CENTRE SCOLAIRE DES DAMES DE MARIE-HAECHT-PHILOMENE-LIMITE,02-217 67 47,BRUXELLES-CAPITALE,49,,39,388,Type 1 deuxième degré troisième général transition,Rue de la Limite 27 ,"1,73303307628655E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,181174,1 D2 3 G,181174
1 D2 3 G,2014-09-01,390,1 D2 G,9999-12-31,1210 - SAINT-JOSSE-TEN-NOODE - SAINT-JOSSE-TEN-NOODE,LYCEE GUY CUDELL,02-220 28 10,BRUXELLES-CAPITALE,49,,39,390,Type 1 deuxième degré troisième général transition,Rue de Liedekerke 66 ,"1,7330330762918E+018",LANGUE MODERNE I NEERLANDAIS,Subventionné communal,181154,1 D2 3 G,181154
1 D2 3 G,2014-09-01,419,1 D2 G,9999-12-31,1030 - SCHAERBEEK - SCHAERBEEK,ATHENEE ROYAL ALFRED VERWEE,02-244 91 91,BRUXELLES-CAPITALE,49,,39,419,Type 1 deuxième degré troisième général transition,Rue Verwée 12 ,"1,73303307629389E+018",LANGUE MODERNE II ANGLAIS,WBE,587,1 D2 3 G,587
1 D2 3 G,2014-09-01,420,1 D2 G,9999-12-31,1030 - SCHAERBEEK - SCHAERBEEK,ATHENEE COMMUNAL FERNAND BLUM,02-243 17 80,BRUXELLES-CAPITALE,49,,39,420,Type 1 deuxième degré troisième général transition,Avenue Ernest Renan 12 ,"1,73303307629809E+018",LANGUE MODERNE I NEERLANDAIS,Subventionné communal,181199,1 D2 3 G,181199
1 D2 3 G,2014-09-01,421,1 D2 G,9999-12-31,1030 - SCHAERBEEK - SCHAERBEEK,LYCEE COMMUNAL EMILE MAX,02-240 43 40,BRUXELLES-CAPITALE,49,,39,421,Type 1 deuxième degré troisième général transition,Chaussée de Haecht 235 ,"1,73303307630333E+018",LANGUE MODERNE I NEERLANDAIS,Subventionné communal,181215,1 D2 3 G,181215
1 D2 3 G,2014-09-01,422,1 D2 G,9999-12-31,1030 - SCHAERBEEK - SCHAERBEEK,CENTRE SCOLAIRE SAINTE-MARIE - LA SAGESSE,02-216 81 67,BRUXELLES-CAPITALE,49,,39,422,Type 1 deuxième degré troisième général transition,Chaussée de Haecht 164 ,"1,73303307630648E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,181263,1 D2 3 G,181263
1 D2 3 G,2014-09-01,423,1 D2 G,9999-12-31,1030 - SCHAERBEEK - SCHAERBEEK,INSTITUT DE LA SAINTE-FAMILLE D'HELMET,02-216 61 81,BRUXELLES-CAPITALE,49,,39,423,Type 1 deuxième degré troisième général transition,Rue Chaumontel 9 ,"1,73303307631067E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,181309,1 D2 3 G,181309
