AE_CODE,DT_DEBUT,NS_ETAB_ID,CP_LOC_COM_IMPL,DT_FIN,NOM_ETAB,AE_OBJ_ID,TELEPHONE_ETAB,PROV_ETAB,TE_LIBL_CRT,DGSP_OBJ_ID,URL_ETAB,NUMERO_FASE_ETAB,CO_UNI_ID,AE_NOM,ADRS_IMPL,_version_,CO_ETUDE_ID,RESEAU,id
1 D1 1D,2014-09-01,123,1000 - BRUXELLES - BRUXELLES,9999-12-31,ATHENEE ADOLPHE MAX,97,02-740 24 60,BRUXELLES-CAPITALE,1 D1 1D,46,,123,112,Type 1 premier degré première année différenciée,"Boulevard Clovis 40 ",1732987698344361987,GT11D,Subventionné communal,123
1 D1 1D,2014-09-01,124,1020 - BRUXELLES - LAEKEN,9999-12-31,ATHENEE ROYAL DE LA RIVE GAUCHE,97,02-427 97 67,BRUXELLES-CAPITALE,1 D1 1D,46,,124,112,Type 1 premier degré première année différenciée,"Rue Marie-Christine 83 ",1732987698346459136,GT11D,WBE,124
1 D1 1D,2014-09-01,126,1000 - BRUXELLES - BRUXELLES,9999-12-31,ATHENEE ROBERT CATTEAU,97,02-500 72 30,BRUXELLES-CAPITALE,1 D1 1D,46,,126,112,Type 1 premier degré première année différenciée,"Rue Ernest Allard 49 ",1732987698346459140,GT11D,Subventionné communal,126
1 D1 1D,2014-09-01,127,1000 - BRUXELLES - BRUXELLES,9999-12-31,ATHENEE LEON LEPAGE,97,02-548 27 10,BRUXELLES-CAPITALE,1 D1 1D,46,,127,112,Type 1 premier degré première année différenciée,"Rue des Riches Claires 30 ",1732987698347507713,GT11D,Subventionné communal,127
1 D1 1D,2014-09-01,128,1040 - ETTERBEEK - BRUXELLES,9999-12-31,Lycée Emile Jacqmain,97,02-238 52 50,BRUXELLES-CAPITALE,1 D1 1D,46,,128,112,Type 1 premier degré première année différenciée,"Rue Belliard 135A ",1732987698347507715,GT11D,Subventionné communal,128
1 D1 1D,2014-09-01,129,1150 - WOLUWE-SAINT-PIERRE - WOLUWE-SAINT-PIERRE,9999-12-31,ATHENEE EMILE BOCKSTAEL,97,02-475 73 00,BRUXELLES-CAPITALE,1 D1 1D,46,,129,112,Type 1 premier degré première année différenciée,"AVENUE DES CATTLEYAS 59 ",1732987698348556290,GT11D,Subventionné communal,129
1 D1 1D,2014-09-01,130,1000 - BRUXELLES - BRUXELLES,9999-12-31,LYCEE HENRIETTE DACHSBECK,97,02-500 85 50,BRUXELLES-CAPITALE,1 D1 1D,46,,130,112,Type 1 premier degré première année différenciée,"Rue de la Paille 24 ",1732987698348556292,GT11D,Subventionné communal,130
1 D1 1D,2014-09-01,132,1000 - BRUXELLES - BRUXELLES,9999-12-31,INSTITUT SAINT-LOUIS,97,02-209 17 11,BRUXELLES-CAPITALE,1 D1 1D,46,,132,112,Type 1 premier degré première année différenciée,"Rue du Marais 113 ",1732987698349604865,GT11D,Libre confessionnel,132
1 D1 1D,2014-09-01,133,1020 - BRUXELLES - LAEKEN,9999-12-31,LYCEE MARIA ASSUMPTA,97,02-268 04 13,BRUXELLES-CAPITALE,1 D1 1D,46,,133,112,Type 1 premier degré première année différenciée,"Avenue Wannecouter 76 ",1732987698349604867,GT11D,Libre confessionnel,133
1 D1 1D,2014-09-01,134,1120 - BRUXELLES - NEDER-OVER-HEEMBEEK,9999-12-31,ATHENEE DES PAGODES,97,02-266 11 50,BRUXELLES-CAPITALE,1 D1 1D,46,,134,112,Type 1 premier degré première année différenciée,"Rue de Beyseghem 141 ",1732987698350653440,GT11D,Subventionné communal,134
1 D1 1D,2014-09-01,138,1000 - BRUXELLES - BRUXELLES,9999-12-31,COLLEGE LA FRATERNITE,97,02-426 71 14,BRUXELLES-CAPITALE,1 D1 1D,46,,138,112,Type 1 premier degré première année différenciée,"Chaussée d'Anvers 28 ",1732987698350653444,GT11D,Libre confessionnel,138
1 D1 1C,2014-09-01,139,1000 - BRUXELLES - BRUXELLES,9999-12-31,ATHENEE ROYAL GATTI DE GAMOND,93,02-2140180,BRUXELLES-CAPITALE,1 D1 1C,45,,139,112,Type 1 premier degré première année commune,"Rue du Marais 65 ",1732987698350653445,GT11C,WBE,139
1 D1 1D,2014-09-01,140,1020 - BRUXELLES - LAEKEN,9999-12-31,ATHENEE ROYAL DE BRUXELLES II,97,02-425 14 00,BRUXELLES-CAPITALE,1 D1 1D,46,,140,112,Type 1 premier degré première année différenciée,"Rue Marie-Christine 37 ",1732987698351702017,GT11D,WBE,140
1 D1 1D,2014-09-01,141,1000 - BRUXELLES - BRUXELLES,9999-12-31,LYCEE LA RETRAITE,97,02-736 91 27,BRUXELLES-CAPITALE,1 D1 1D,46,,141,112,Type 1 premier degré première année différenciée,"Rue des Confédérés 70 ",1732987698352750592,GT11D,Libre confessionnel,141
1 D1 1D,2014-09-01,142,1000 - BRUXELLES - BRUXELLES,9999-12-31,INSTITUT DIDEROT,97,02-289 63 00,BRUXELLES-CAPITALE,1 D1 1D,46,,142,112,Type 1 premier degré première année différenciée,"Rue des Capucins 58 ",1732987698352750596,GT11D,Subventionné communal,142
1 D1 1D,2014-09-01,143,1000 - BRUXELLES - BRUXELLES,9999-12-31,INSTITUT PAUL-HENRI SPAAK,97,02-423 57 00,BRUXELLES-CAPITALE,1 D1 1D,46,,143,112,Type 1 premier degré première année différenciée,"Boulevard de l'Abattoir 50 ",1732987698353799172,GT11D,Subventionné communal,143
1 D1 1D,2014-09-01,144,1020 - BRUXELLES - LAEKEN,9999-12-31,INSTITUT MARIS STELLA,97,02-478 63 95,BRUXELLES-CAPITALE,1 D1 1D,46,,144,112,Type 1 premier degré première année différenciée,"Rue Félix Sterckx 44 ",1732987698354847744,GT11D,Libre confessionnel,144
1 D1 1D,2014-09-01,145,1000 - BRUXELLES - BRUXELLES,9999-12-31,INSTITUT BISCHOFFSHEIM,97,02-250 07 00,BRUXELLES-CAPITALE,1 D1 1D,46,,145,112,Type 1 premier degré première année différenciée,"Rue de la Blanchisserie 52 ",1732987698355896320,GT11D,Subventionné communal,145
1 D1 1D,2018-09-01,152,1000 - BRUXELLES - BRUXELLES,9999-12-31,INSTITUT DES ARTS ET METIERS,97,02-279 52 20,BRUXELLES-CAPITALE,1 D1 1D,46,,152,112,Type 1 premier degré première année différenciée,"Boulevard de l'Abattoir 50 ",1732987698355896326,GT11D,Subventionné communal,152
1 D1 1D,2014-09-01,185,1020 - BRUXELLES - LAEKEN,9999-12-31,INSTITUT NOTRE-DAME DE LOURDES,97,02-424 09 23,BRUXELLES-CAPITALE,1 D1 1D,46,,185,112,Type 1 premier degré première année différenciée,"Rue Edmond Tollenaere 32 ",1732987698356944899,GT11D,Libre confessionnel,185
1 D1 1D,2014-09-01,208,1030 - SCHAERBEEK - SCHAERBEEK,9999-12-31,Centre scolaire Saint-Michel,97,02 739 34 16,BRUXELLES-CAPITALE,1 D1 1D,46,,208,112,Type 1 premier degré première année différenciée,"Rue Dupont 20 ",1732987698357993477,GT11D,Libre confessionnel,208
1 D1 1C,2016-09-01,209,1190 - FOREST - FOREST,9999-12-31,INSTITUT SAINT-JOSEPH D'ENSEIGNEMENT TECHNIQUE,93,02-735 81 10,BRUXELLES-CAPITALE,1 D1 1C,45,,209,112,Type 1 premier degré première année commune,"Rue des Alliés 315 ",1732987698359042051,GT11C,Libre confessionnel,209
1 D1 1D,2016-09-01,210,1040 - ETTERBEEK - ETTERBEEK,9999-12-31,Centre d'enseignement secondaire d'Etterbeek Ernest Richard,97,02-734 28 09,BRUXELLES-CAPITALE,1 D1 1D,46,,210,112,Type 1 premier degré première année différenciée,"Rue Joseph Buedts 18 ",1732987698360090626,GT11D,Subventionné communal,210
1 D1 1C,2014-09-01,212,1040 - ETTERBEEK - ETTERBEEK,9999-12-31,ATHENEE ROYAL JEAN ABSIL,93,02-736 59 76,BRUXELLES-CAPITALE,1 D1 1C,45,,212,112,Type 1 premier degré première année commune,"Avenue Hansen-Soulie 27 ",1732987698360090627,GT11C,WBE,212
1 D1 1D,2014-09-01,213,1040 - ETTERBEEK - ETTERBEEK,9999-12-31,INSTITUT DE L'ENFANT-JESUS,97,02-230 46 04,BRUXELLES-CAPITALE,1 D1 1D,46,,213,112,Type 1 premier degré première année différenciée,"Rue Général Leman 74 ",1732987698360090629,GT11D,Libre confessionnel,213
1 D1 1D,2014-09-01,214,1040 - ETTERBEEK - ETTERBEEK,9999-12-31,INSTITUT SAINT-STANISLAS,97,02-735 56 31,BRUXELLES-CAPITALE,1 D1 1D,46,,214,112,Type 1 premier degré première année différenciée,"Avenue des Nerviens 131 ",1732987698361139201,GT11D,Libre confessionnel,214
1 D1 1D,2014-09-01,222,1030 - SCHAERBEEK - SCHAERBEEK,9999-12-31,COLLEGE ROI BAUDOUIN,97,02-734 95 16,BRUXELLES-CAPITALE,1 D1 1D,46,,222,112,Type 1 premier degré première année différenciée,"Rue Victor Hugo 110 ",1732987698361139205,GT11D,Libre confessionnel,222
1 D1 1D,2014-09-01,231,1140 - EVERE - EVERE,9999-12-31,ATHENEE ROYAL D'EVERE,97,02-701 97 11,BRUXELLES-CAPITALE,1 D1 1D,46,,231,112,Type 1 premier degré première année différenciée,"Av des Anciens Combattants 202 ",1732987698363236353,GT11D,WBE,231
1 D1 1D,2014-09-01,246,1190 - FOREST - FOREST,9999-12-31,ATHENEE ROYAL ANDREE THOMAS,97,02-344 69 77,BRUXELLES-CAPITALE,1 D1 1D,46,,246,112,Type 1 premier degré première année différenciée,"Avenue Reine Marie-Henriette 47 ",1732987698363236355,GT11D,WBE,246
1 D1 1D,2014-09-01,249,1190 - FOREST - FOREST,9999-12-31,INSTITUT SAINTE-URSULE,97,02-344 12 88,BRUXELLES-CAPITALE,1 D1 1D,46,,249,112,Type 1 premier degré première année différenciée,"Avenue des Armures 39 ",1732987698363236357,GT11D,Libre confessionnel,249
1 D1 1D,2014-09-01,261,1083 - GANSHOREN - GANSHOREN,9999-12-31,COLLEGE DU SACRE-COEUR,97,02-425 87 22,BRUXELLES-CAPITALE,1 D1 1D,46,,261,112,Type 1 premier degré première année différenciée,"Rue Louis Delhove 65 ",1732987698364284928,GT11D,Libre confessionnel,261
1 D1 1D,2014-09-01,262,1083 - GANSHOREN - GANSHOREN,9999-12-31,CENTRE SCOLAIRE NOTRE-DAME DE LA SAGESSE,97,02-428 11 27,BRUXELLES-CAPITALE,1 D1 1D,46,,262,112,Type 1 premier degré première année différenciée,"Avenue Van Overbeke 10 ",1732987698364284930,GT11D,Libre confessionnel,262
1 D1 1C,2014-09-01,263,1083 - GANSHOREN - GANSHOREN,9999-12-31,ATHENEE ROYAL DE GANSHOREN,93,02-426 83 00,BRUXELLES-CAPITALE,1 D1 1C,45,,263,112,Type 1 premier degré première année commune,"Rue Auguste De Cock 1 ",1732987698364284931,GT11C,WBE,263
1 D1 1D,2014-09-01,282,1050 - IXELLES - IXELLES,9999-12-31,INSTITUT SAINT-BONIFACE- PARNASSE,97,02-511 53 49,BRUXELLES-CAPITALE,1 D1 1D,46,,282,112,Type 1 premier degré première année différenciée,"Rue du Viaduc 82 ",1732987698364284933,GT11D,Libre confessionnel,282
1 D1 1D,2014-09-01,283,1050 - IXELLES - IXELLES,9999-12-31,CENTRE SCOLAIRE DE MA CAMPAGNE,97,02-538 08 38,BRUXELLES-CAPITALE,1 D1 1D,46,,283,112,Type 1 premier degré première année différenciée,"Rue du Page 78 ",1732987698365333506,GT11D,Libre confessionnel,283
1 D1 1D,2014-09-01,286,1050 - IXELLES - IXELLES,9999-12-31,Collège Saint-Vincent - Saint-François,97,02-648 10 70,BRUXELLES-CAPITALE,1 D1 1D,46,,286,112,Type 1 premier degré première année différenciée,"Chaussée de Vleurgat 55 ",1732987698365333510,GT11D,Libre confessionnel,286
1 D1 1D,2014-09-01,287,1050 - IXELLES - IXELLES,9999-12-31,INSTITUT SAINT-ANDRE,97,02-648 62 88,BRUXELLES-CAPITALE,1 D1 1D,46,,287,112,Type 1 premier degré première année différenciée,"Avenue de l'Hippodrome 180 ",1732987698366382081,GT11D,Libre confessionnel,287
1 D1 1D,2014-09-01,288,1000 - BRUXELLES - BRUXELLES,9999-12-31,CENTRE SCOLAIRE EPERONNIERS-MERCELIS,97,02-512 60 98,BRUXELLES-CAPITALE,1 D1 1D,46,,288,112,Type 1 premier degré première année différenciée,"Rue de l'Etuve 56 ",1732987698368479238,GT11D,Libre confessionnel,288
1 D1 1D,2014-09-01,290,1050 - IXELLES - IXELLES,9999-12-31,ATHENEE COMMUNAL CHARLES JANSSENS,97,02-515 75 64,BRUXELLES-CAPITALE,1 D1 1D,46,,290,112,Type 1 premier degré première année différenciée,"Place de Londres 5 ",1732987698369527809,GT11D,Subventionné communal,290
1 D1 1D,2014-09-01,291,1050 - IXELLES - IXELLES,9999-12-31,CENTRE SCOLAIRE SAINT-ADRIEN - VAL DUCHESSE,97,02-672 36 08,BRUXELLES-CAPITALE,1 D1 1D,46,,291,112,Type 1 premier degré première année différenciée,"Schoolgat 5 ",1732987698369527813,GT11D,Libre confessionnel,291
1 D1 1C,2014-09-01,317,1090 - JETTE - JETTE,9999-12-31,ATHENEE ROYAL DE JETTE,93,02-426 05 29,BRUXELLES-CAPITALE,1 D1 1C,45,,317,112,Type 1 premier degré première année commune,"Avenue de Levis Mirepoix 100 ",1732987698369527814,GT11C,WBE,317
1 D1 1D,2014-09-01,318,1090 - JETTE - JETTE,9999-12-31,Centre scolaire du Sacré-Coeur - Section Humanités,97,02-478 71 90,BRUXELLES-CAPITALE,1 D1 1D,46,,318,112,Type 1 premier degré première année différenciée,"Avenue du Sacré-Coeur 8 ",1732987698370576384,GT11D,Libre confessionnel,318
1 D1 1D,2014-09-01,319,1090 - JETTE - JETTE,9999-12-31,COLLEGE SAINT-PIERRE,97,02-421 43 30,BRUXELLES-CAPITALE,1 D1 1D,46,,319,112,Type 1 premier degré première année différenciée,"Rue Jean-Baptiste Verbeyst 25 ",1732987698370576386,GT11D,Libre confessionnel,319
1 D1 1C,2014-09-01,326,1081 - KOEKELBERG - KOEKELBERG,9999-12-31,ATHENEE ROYAL DE KOEKELBERG,93,02-414 77 28,BRUXELLES-CAPITALE,1 D1 1C,45,,326,112,Type 1 premier degré première année commune,"Rue Omer Lepreux 15 ",1732987698370576387,GT11C,WBE,326
1 D1 1D,2014-09-01,327,1080 - MOLENBEEK-SAINT-JEAN - MOLENBEEK-SAINT-JEAN,9999-12-31,INSTITUT DES URSULINES,97,02-414 11 11,BRUXELLES-CAPITALE,1 D1 1D,46,,327,112,Type 1 premier degré première année différenciée,"Avenue du Sippelberg 10 ",1732987698371624964,GT11D,Libre confessionnel,327
1 D1 1D,2014-09-01,347,1080 - MOLENBEEK-SAINT-JEAN - MOLENBEEK-SAINT-JEAN,9999-12-31,ATHENEE ROYAL DU SIPPELBERG,97,02-414 35 75,BRUXELLES-CAPITALE,1 D1 1D,46,,347,112,Type 1 premier degré première année différenciée,"Rue de la Prospérité 14 ",1732987698372673536,GT11D,WBE,347
1 D1 1D,2014-09-01,352,7070 - LE ROEULX - LE ROEULX,9999-12-31,Campus Saint-Jean,97,02-412 04 80,BRUXELLES-CAPITALE,1 D1 1D,46,,352,112,Type 1 premier degré première année différenciée,"RUE PAUL JANSON 26 ",1732987698372673540,GT11D,Libre confessionnel,352
1 D1 1D,2013-09-01,365,1060 - SAINT-GILLES - SAINT-GILLES,9999-12-31,ATHENEE ROYAL VICTOR HORTA,97,02-538 27 42,BRUXELLES-CAPITALE,1 D1 1D,46,,365,112,Type 1 premier degré première année différenciée,"Rue de la Rhétorique 16 ",1732987698372673544,GT11D,WBE,365
1 D1 1D,2014-09-01,366,1060 - SAINT-GILLES - SAINT-GILLES,9999-12-31,INSTITUT DES FILLES DE MARIE,97,02-537 78 51,BRUXELLES-CAPITALE,1 D1 1D,46,,366,112,Type 1 premier degré première année différenciée,"Rue Théodore Verhaegen 8 ",1732987698373722113,GT11D,Libre confessionnel,366
1 D1 1D,2014-09-01,367,1060 - SAINT-GILLES - SAINT-GILLES,9999-12-31,INSTITUT SAINT-JEAN-BAPTISTE DE LA SALLE,97,02-537 12 43,BRUXELLES-CAPITALE,1 D1 1D,46,,367,112,Type 1 premier degré première année différenciée,"Rue Moris 19 ",1732987698373722117,GT11D,Libre confessionnel,367
1 D1 1D,2014-09-01,388,1210 - SAINT-JOSSE-TEN-NOODE - SAINT-JOSSE-TEN-NOODE,9999-12-31,CENTRE SCOLAIRE DES DAMES DE MARIE-HAECHT-PHILOMENE-LIMITE,97,02-217 67 47,BRUXELLES-CAPITALE,1 D1 1D,46,,388,112,Type 1 premier degré première année différenciée,"Rue de la Limite 27 ",1732987698374770689,GT11D,Libre confessionnel,388
1 D1 1D,2021-09-01,390,1210 - SAINT-JOSSE-TEN-NOODE - SAINT-JOSSE-TEN-NOODE,9999-12-31,LYCEE GUY CUDELL,97,02-220 28 10,BRUXELLES-CAPITALE,1 D1 1D,46,,390,112,Type 1 premier degré première année différenciée,"Rue de Liedekerke 66 ",1732987698374770693,GT11D,Subventionné communal,390
1 D1 1D,2014-09-01,419,1030 - SCHAERBEEK - SCHAERBEEK,9999-12-31,ATHENEE ROYAL ALFRED VERWEE,97,02-244 91 91,BRUXELLES-CAPITALE,1 D1 1D,46,,419,112,Type 1 premier degré première année différenciée,"Rue Verwée 12 ",1732987698375819265,GT11D,WBE,419
1 D1 1D,2014-09-01,420,1030 - SCHAERBEEK - SCHAERBEEK,9999-12-31,ATHENEE COMMUNAL FERNAND BLUM,97,02-243 17 80,BRUXELLES-CAPITALE,1 D1 1D,46,,420,112,Type 1 premier degré première année différenciée,"Avenue Ernest Renan 12 ",1732987698375819269,GT11D,Subventionné communal,420
1 D1 1D,2014-09-01,421,1030 - SCHAERBEEK - SCHAERBEEK,9999-12-31,LYCEE COMMUNAL EMILE MAX,97,02-240 43 40,BRUXELLES-CAPITALE,1 D1 1D,46,,421,112,Type 1 premier degré première année différenciée,"Chaussée de Haecht 235 ",1732987698376867840,GT11D,Subventionné communal,421
1 D1 1D,2014-09-01,422,1030 - SCHAERBEEK - SCHAERBEEK,9999-12-31,CENTRE SCOLAIRE SAINTE-MARIE - LA SAGESSE,97,02-216 81 67,BRUXELLES-CAPITALE,1 D1 1D,46,,422,112,Type 1 premier degré première année différenciée,"Chaussée de Haecht 164 ",1732987698376867842,GT11D,Libre confessionnel,422
1 D1 1D,2014-09-01,423,1030 - SCHAERBEEK - SCHAERBEEK,9999-12-31,INSTITUT DE LA SAINTE-FAMILLE D'HELMET,97,02-216 61 81,BRUXELLES-CAPITALE,1 D1 1D,46,,423,112,Type 1 premier degré première année différenciée,"Rue Chaumontel 9 ",1732987698376867844,GT11D,Libre confessionnel,423
1 D1 1D,2014-09-01,428,7070 - LE ROEULX - LE ROEULX,9999-12-31,INSTITUT TECHNIQUE CARDINAL MERCIER - NOTRE-DAME DU SACRE-COEUR,97,02-216 21 97,BRUXELLES-CAPITALE,1 D1 1D,46,,428,112,Type 1 premier degré première année différenciée,RUE DE LA VICTOIRE 22 A,1732987698377916416,GT11D,Libre confessionnel,428
1 D1 1D,2014-09-01,429,1030 - SCHAERBEEK - SCHAERBEEK,9999-12-31,INSTITUT COMMUNAL TECHNIQUE FRANS FISCHER,97,02-240 17 80,BRUXELLES-CAPITALE,1 D1 1D,46,,429,112,Type 1 premier degré première année différenciée,"Rue Général Eenens 66 ",1732987698377916418,GT11D,Subventionné communal,429
1 D1 1D,2014-09-01,432,1030 - SCHAERBEEK - SCHAERBEEK,9999-12-31,INSTITUT SAINT-DOMINIQUE,97,02-240 16 10,BRUXELLES-CAPITALE,1 D1 1D,46,,432,112,Type 1 premier degré première année différenciée,"Rue Caporal Claes 38 ",1732987698377916420,GT11D,Libre confessionnel,432
1 D1 1C,2014-09-01,460,1180 - UCCLE - UCCLE,9999-12-31,ATHENEE ROYAL D'UCCLE I,93,02-374 05 84,BRUXELLES-CAPITALE,1 D1 1C,45,,460,112,Type 1 premier degré première année commune,"Avenue Houzeau 87 ",1732987698377916421,GT11C,WBE,460
1 D1 1D,2014-09-01,462,1180 - UCCLE - UCCLE,9999-12-31,ECOLE DECROLY,97,02-374 17 03,BRUXELLES-CAPITALE,1 D1 1D,46,,462,112,Type 1 premier degré première année différenciée,"Avenue Hamoir 6 ",1732987698378964993,GT11D,Libre non confessionnel,462
1 D1 1D,2014-09-01,463,1180 - UCCLE - UCCLE,9999-12-31,COLLEGE SAINT-PIERRE,97,02-344 50 58,BRUXELLES-CAPITALE,1 D1 1D,46,,463,112,Type 1 premier degré première année différenciée,"Avenue Coghen 213 ",1732987698378964995,GT11D,Libre confessionnel,463
1 D1 1D,2014-09-01,464,1180 - UCCLE - UCCLE,9999-12-31,CENTRE D'ENSEIGNEMENT SECONDAIRE LIBRE NOTRE-DAME DES CHAMPS,97,02-374 58 40,BRUXELLES-CAPITALE,1 D1 1D,46,,464,112,Type 1 premier degré première année différenciée,"Rue Edith Cavell 143 ",1732987698378964997,GT11D,Libre confessionnel,464
1 D1 1C,2013-09-01,465,1180 - UCCLE - UCCLE,9999-12-31,ATHENEE ROYAL D'UCCLE II,93,02-374 37 91,BRUXELLES-CAPITALE,1 D1 1C,45,,465,112,Type 1 premier degré première année commune,"Avenue des Tilleuls 24 ",1732987698378964998,GT11C,WBE,465
1 D1 1D,2014-09-01,466,1190 - FOREST - FOREST,9999-12-31,INSTITUT SAINT-VINCENT DE PAUL,97,02-345 46 26,BRUXELLES-CAPITALE,1 D1 1D,46,,466,112,Type 1 premier degré première année différenciée,"Av Fontaine Vanderstraeten 11 ",1732987698380013569,GT11D,Libre confessionnel,466
1 D1 1D,2014-09-01,480,1180 - UCCLE - UCCLE,9999-12-31,ATHENEE GANENOU,97,02-376 11 76,BRUXELLES-CAPITALE,1 D1 1D,46,,480,112,Type 1 premier degré première année différenciée,"Rue du Melkriek 3 ",1732987698380013571,GT11D,Libre confessionnel,480
1 D1 1D,2014-09-01,492,1170 - WATERMAEL-BOITSFORT - WATERMAEL-BOITSFORT,9999-12-31,COLLEGE SAINT-HUBERT,97,02-660 19 40,BRUXELLES-CAPITALE,1 D1 1D,46,,492,112,Type 1 premier degré première année différenciée,"Avenue Charle-Albert 9 ",1732987698380013573,GT11D,Libre confessionnel,492
1 D1 1D,2014-09-01,494,1170 - WATERMAEL-BOITSFORT - WATERMAEL-BOITSFORT,9999-12-31,INSTITUT DE L'ASSOMPTION,97,02-663 82 90,BRUXELLES-CAPITALE,1 D1 1D,46,,494,112,Type 1 premier degré première année différenciée,"Avenue Alfred Solvay 4 ",1732987698380013575,GT11D,Libre confessionnel,494
1 D1 1D,2014-09-01,513,1200 - WOLUWE-SAINT-LAMBERT - WOLUWE-SAINT-LAMBERT,9999-12-31,ATHENEE ROYAL WOLUWE-SAINT-LAMBERT,97,02-776 82 60,BRUXELLES-CAPITALE,1 D1 1D,46,,513,112,Type 1 premier degré première année différenciée,"Rue de l'Athénée Royal 75-77 ",1732987698380013577,GT11D,WBE,513
1 D1 1D,2014-09-01,514,7070 - LE ROEULX - LE ROEULX,9999-12-31,CENTRE SCOLAIRE DU SACRE-COEUR DE LINDTHOUT,97,02-736 00 94,HAINAUT,1 D1 1D,46,,514,112,Type 1 premier degré première année différenciée,"RUE D HOUDENG 134 ",1732987698381062145,GT11D,Libre confessionnel,514
1 D1 1D,2014-09-01,515,1200 - WOLUWE-SAINT-LAMBERT - WOLUWE-SAINT-LAMBERT,9999-12-31,COLLEGE DON BOSCO,97,02-771 98 48,BRUXELLES-CAPITALE,1 D1 1D,46,,515,112,Type 1 premier degré première année différenciée,"Chaussée de Stockel 270 ",1732987698381062147,GT11D,Libre confessionnel,515
1 D1 1D,2014-09-01,517,1200 - WOLUWE-SAINT-LAMBERT - WOLUWE-SAINT-LAMBERT,9999-12-31,INSTITUT DES DAMES DE MARIE,97,02-743 27 90,BRUXELLES-CAPITALE,1 D1 1D,46,,517,112,Type 1 premier degré première année différenciée,"Rue Vergote 40 ",1732987698381062149,GT11D,Libre confessionnel,517
