AE_CODE,DT_DEBUT,ADRS_ETAB,NS_ETAB_ID,DGSP_CODE,DT_FIN,NOM_ETAB,TELEPHONE_ETAB,PROV_ETAB,DGSP_OBJ_ID,URL_ETAB,FOR_OBJ_ID,NUMERO_FASE_ETAB,AE_NOM,_version_,TE_INTITULE,RESEAU,CP_LOC_COM_ETAB,id,CO_ANNEE_ETUDES,NS_SA_ID
1 D2 3 G,2014-09-01,Rue Félix Sterckx 44 ,144,1 D2 G,9999-12-31,INSTITUT MARIS STELLA,02-478 63 95,BRUXELLES-CAPITALE,49,,39,144,Type 1 deuxième degré troisième général transition,"1,73316666762671E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,1020 - BRUXELLES - LAEKEN,180303,1 D2 3 G,180303
1 D2 3 P,2014-09-01,Rue de la Blanchisserie 52 ,145,1 D2 P,9999-12-31,INSTITUT BISCHOFFSHEIM,02-250 07 00,BRUXELLES-CAPITALE,50,,42,145,Type 1 deuxième degré troisième professionnel qualification,"1,73316666762881E+018",CONFECTION,Subventionné communal,1000 - BRUXELLES - BRUXELLES,180262,1 D2 3 P,180262
R D2 3 P,2014-09-01,Boulevard de l'Abattoir 50 ,152,R D2 P,2021-08-31,INSTITUT DES ARTS ET METIERS,02-279 52 20,BRUXELLES-CAPITALE,53,,42,152,C.E.F.A. deuxième degré troisième professionnel qualification,"1,73316666763405E+018",COIFFURE,Subventionné communal,1000 - BRUXELLES - BRUXELLES,180189,R D2 3 P,180189
1 D2 3 AT,2014-09-01,Rue du Poinçon 28 ,179,1 D2 AT,9999-12-31,ACADEMIE ROYALE DES BEAUX-ARTS DE BRUXELLES,02-274 05 90,BRUXELLES-CAPITALE,48,,41,179,Type 1 deuxième degré troisième artistique transition,"1,73316666764244E+018",LANGUE MODERNE I NEERLANDAIS,Subventionné communal,1000 - BRUXELLES - BRUXELLES,180473,1 D2 3 AT,180473
1 D2 3 P,2014-09-01,Rue Edmond Tollenaere 32 ,185,1 D2 P,9999-12-31,INSTITUT NOTRE-DAME DE LOURDES,02-424 09 23,BRUXELLES-CAPITALE,50,,42,185,Type 1 deuxième degré troisième professionnel qualification,"1,73316666764349E+018",VENTE,Libre confessionnel,1020 - BRUXELLES - LAEKEN,180037,1 D2 3 P,180037
1 D2 3 G,2014-09-01,Boulevard Saint-Michel 24 ,208,1 D2 G,9999-12-31,Centre scolaire Saint-Michel,02 739 34 16,BRUXELLES-CAPITALE,49,,39,208,Type 1 deuxième degré troisième général transition,"1,73316666764663E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,1040 - ETTERBEEK - ETTERBEEK,180526,1 D2 3 G,180526
1 D2 3 G,2014-09-01,Rue Félix Hap 14 ,209,1 D2 G,9999-12-31,INSTITUT SAINT-JOSEPH D'ENSEIGNEMENT TECHNIQUE,02-735 81 10,BRUXELLES-CAPITALE,49,,39,209,Type 1 deuxième degré troisième général transition,"1,73316666764978E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,1040 - ETTERBEEK - ETTERBEEK,179995,1 D2 3 G,179995
1 D2 3 P,2014-09-01,Place Saint-Pierre 5 ,210,1 D2 P,9999-12-31,Centre d'enseignement secondaire d'Etterbeek Ernest Richard,02-734 28 09,BRUXELLES-CAPITALE,50,,42,210,Type 1 deuxième degré troisième professionnel qualification,"1,73316666765607E+018",TRAVAUX DE BUREAU,Subventionné communal,1040 - ETTERBEEK - ETTERBEEK,180502,1 D2 3 P,180502
1 D2 3 P,2014-09-01,RUE DES SAULES 40 ,211,1 D2 P,9999-12-31,Institut Reine Fabiola Enseignement professionnel,02-629 00 40,HAINAUT,50,,42,211,Type 1 deuxième degré troisième professionnel qualification,"1,73316666765921E+018",SERVICES SOCIAUX,Libre non confessionnel,7070 - LE ROEULX - LE ROEULX,180594,1 D2 3 P,180594
1 D2 3 G,2014-09-01,Rue de Hollande 45 ,212,1 D2 G,9999-12-31,ATHENEE ROYAL JEAN ABSIL,02-736 59 76,BRUXELLES-CAPITALE,49,,39,212,Type 1 deuxième degré troisième général transition,"1,73316666766236E+018",LANGUE MODERNE II ANGLAIS,WBE,1060 - SAINT-GILLES - SAINT-GILLES,2123,1 D2 3 G,2123
1 D2 3 G,2014-09-01,Rue Général Leman 74 ,213,1 D2 G,9999-12-31,INSTITUT DE L'ENFANT-JESUS,02-230 46 04,BRUXELLES-CAPITALE,49,,39,213,Type 1 deuxième degré troisième général transition,"1,73316666766551E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,1040 - ETTERBEEK - ETTERBEEK,180546,1 D2 3 G,180546
1 D2 3 G,2014-09-01,Avenue des Nerviens 131 ,214,1 D2 G,9999-12-31,INSTITUT SAINT-STANISLAS,02-735 56 31,BRUXELLES-CAPITALE,49,,39,214,Type 1 deuxième degré troisième général transition,"1,73316666766865E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,1040 - ETTERBEEK - ETTERBEEK,180579,1 D2 3 G,180579
1 D2 3 G,2014-09-01,Avenue Félix Marchal 62 ,222,1 D2 G,9999-12-31,COLLEGE ROI BAUDOUIN,02-734 95 16,BRUXELLES-CAPITALE,49,,39,222,Type 1 deuxième degré troisième général transition,"1,73316666767285E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,1030 - SCHAERBEEK - SCHAERBEEK,181365,1 D2 3 G,181365
1 D2 3 G,2014-09-01,Avenue Constant Permeke 2 ,231,1 D2 G,9999-12-31,ATHENEE ROYAL D'EVERE,02-701 97 11,BRUXELLES-CAPITALE,49,,39,231,Type 1 deuxième degré troisième général transition,"1,73316666767389E+018",LANGUE MODERNE II ANGLAIS,WBE,1140 - EVERE - EVERE,552,1 D2 3 G,552
1 D2 3 G,2014-09-01,Avenue Reine Marie-Henriette 47 ,246,1 D2 G,9999-12-31,ATHENEE ROYAL ANDREE THOMAS,02-344 69 77,BRUXELLES-CAPITALE,49,,39,246,Type 1 deuxième degré troisième général transition,"1,73316666767809E+018",LANGUE MODERNE II ANGLAIS,WBE,1190 - FOREST - FOREST,2143,1 D2 3 G,2143
1 D2 3 G,2014-09-01,Avenue des Armures 39 ,249,1 D2 G,9999-12-31,INSTITUT SAINTE-URSULE,02-344 12 88,BRUXELLES-CAPITALE,49,,39,249,Type 1 deuxième degré troisième général transition,"1,73316666768228E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,1190 - FOREST - FOREST,180614,1 D2 3 G,180614
1 D2 3 G,2014-09-01,Rue Louis Delhove 65 ,261,1 D2 G,9999-12-31,COLLEGE DU SACRE-COEUR,02-425 87 22,BRUXELLES-CAPITALE,49,,39,261,Type 1 deuxième degré troisième général transition,"1,73316666768438E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,1083 - GANSHOREN - GANSHOREN,180630,1 D2 3 G,180630
1 D2 3 G,2014-09-01,Avenue Van Overbeke 10 ,262,1 D2 G,9999-12-31,CENTRE SCOLAIRE NOTRE-DAME DE LA SAGESSE,02-428 11 27,BRUXELLES-CAPITALE,49,,39,262,Type 1 deuxième degré troisième général transition,"1,73316666768648E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,1083 - GANSHOREN - GANSHOREN,180644,1 D2 3 G,180644
1 D2 3 G,2014-09-01,Rue Auguste De Cock 1 ,263,1 D2 G,9999-12-31,ATHENEE ROYAL DE GANSHOREN,02-426 83 00,BRUXELLES-CAPITALE,49,,39,263,Type 1 deuxième degré troisième général transition,"1,73316666768857E+018",LANGUE MODERNE II ANGLAIS,WBE,1083 - GANSHOREN - GANSHOREN,614,1 D2 3 G,614
1 D2 3 G,2014-09-01,Rue du Viaduc 82 ,282,1 D2 G,9999-12-31,INSTITUT SAINT-BONIFACE- PARNASSE,02-511 53 49,BRUXELLES-CAPITALE,49,,39,282,Type 1 deuxième degré troisième général transition,"1,73316666769277E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,1050 - IXELLES - IXELLES,180755,1 D2 3 G,180755
1 D2 3 G,2014-09-01,Rue Africaine 3 ,283,1 D2 G,9999-12-31,CENTRE SCOLAIRE DE MA CAMPAGNE,02-538 08 38,BRUXELLES-CAPITALE,49,,39,283,Type 1 deuxième degré troisième général transition,"1,73316666769487E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,1050 - IXELLES - IXELLES,180771,1 D2 3 G,180771
1 D2 3 G,2014-09-01,Chaussée de Vleurgat 55 ,286,1 D2 G,9999-12-31,Collège Saint-Vincent - Saint-François,02-648 10 70,BRUXELLES-CAPITALE,49,,39,286,Type 1 deuxième degré troisième général transition,"1,73316666769906E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,1050 - IXELLES - IXELLES,180944,1 D2 3 G,180944
1 D2 3 G,2014-09-01,Avenue de l'Hippodrome 180 ,287,1 D2 G,9999-12-31,INSTITUT SAINT-ANDRE,02-648 62 88,BRUXELLES-CAPITALE,49,,39,287,Type 1 deuxième degré troisième général transition,"1,73316666770535E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,1050 - IXELLES - IXELLES,180664,1 D2 3 G,180664
1 D2 3 P,2014-09-01,Rue Mercelis 36-38 ,288,1 D2 P,2021-08-31,CENTRE SCOLAIRE EPERONNIERS-MERCELIS,02-512 60 98,BRUXELLES-CAPITALE,50,,42,288,Type 1 deuxième degré troisième professionnel qualification,"1,73316666770745E+018",SERVICES SOCIAUX,Libre confessionnel,1050 - IXELLES - IXELLES,180712,1 D2 3 P,180712
1 D2 3 P,2014-09-01,Place de la Petite Suisse 4 ,289,1 D2 P,9999-12-31,INSTITUT TECHNIQUE RENE CARTIGNY,02-515 75 75,BRUXELLES-CAPITALE,50,,42,289,Type 1 deuxième degré troisième professionnel qualification,"1,73316666771898E+018",ELECTRICITE,Subventionné communal,1050 - IXELLES - IXELLES,180807,1 D2 3 P,180807
1 D2 3 G,2014-09-01,Place de Londres 5 ,290,1 D2 G,9999-12-31,ATHENEE COMMUNAL CHARLES JANSSENS,02-515 75 64,BRUXELLES-CAPITALE,49,,39,290,Type 1 deuxième degré troisième général transition,"1,73316666772318E+018",LANGUE MODERNE I NEERLANDAIS,Subventionné communal,1050 - IXELLES - IXELLES,180681,1 D2 3 G,180681
1 D2 3 G,2014-09-01,Schoolgat 5 ,291,1 D2 G,9999-12-31,CENTRE SCOLAIRE SAINT-ADRIEN - VAL DUCHESSE,02-672 36 08,BRUXELLES-CAPITALE,49,,39,291,Type 1 deuxième degré troisième général transition,"1,73316666772737E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,1050 - IXELLES - IXELLES,180831,1 D2 3 G,180831
1 D2 3 G,2014-09-01,Avenue de Levis Mirepoix 100 ,317,1 D2 G,9999-12-31,ATHENEE ROYAL DE JETTE,02-426 05 29,BRUXELLES-CAPITALE,49,,39,317,Type 1 deuxième degré troisième général transition,"1,73316666775673E+018",LANGUE MODERNE II ANGLAIS,WBE,1090 - JETTE - JETTE,2714,1 D2 3 G,2714
1 D2 3 G,2014-09-01,Avenue du Sacré-Coeur 8 ,318,1 D2 G,9999-12-31,Centre scolaire du Sacré-Coeur - Section Humanités,02-478 71 90,BRUXELLES-CAPITALE,49,,39,318,Type 1 deuxième degré troisième général transition,"1,73316666775883E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,1090 - JETTE - JETTE,180997,1 D2 3 G,180997
1 D2 3 G,2014-09-01,Rue Jean-Baptiste Verbeyst 25 ,319,1 D2 G,9999-12-31,COLLEGE SAINT-PIERRE,02-421 43 30,BRUXELLES-CAPITALE,49,,39,319,Type 1 deuxième degré troisième général transition,"1,73316666776093E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,1090 - JETTE - JETTE,180980,1 D2 3 G,180980
1 D2 3 G,2014-09-01,Rue Omer Lepreux 15 ,326,1 D2 G,9999-12-31,ATHENEE ROYAL DE KOEKELBERG,02-414 77 28,BRUXELLES-CAPITALE,49,,39,326,Type 1 deuxième degré troisième général transition,"1,73316666776407E+018",LANGUE MODERNE II ANGLAIS,WBE,1081 - KOEKELBERG - KOEKELBERG,2167,1 D2 3 G,2167
1 D2 3 P,2014-09-01,Rue Jules Debecker 71 ,327,1 D2 P,9999-12-31,INSTITUT DES URSULINES,02-414 11 11,BRUXELLES-CAPITALE,50,,42,327,Type 1 deuxième degré troisième professionnel qualification,"1,73316666776617E+018",TRAVAUX DE BUREAU,Libre confessionnel,1081 - KOEKELBERG - KOEKELBERG,181011,1 D2 3 P,181011
1 D2 3 G,2014-09-01,Avenue du Sippelberg 2 ,347,1 D2 G,9999-12-31,ATHENEE ROYAL DU SIPPELBERG,02-414 35 75,BRUXELLES-CAPITALE,49,,39,347,Type 1 deuxième degré troisième général transition,"1,73316666776827E+018",LANGUE MODERNE II ANGLAIS,WBE,1080 - MOLENBEEK-SAINT-JEAN - MOLENBEEK-SAINT-JEAN,2184,1 D2 3 G,2184
1 D2 3 G,2014-09-01,Rue de Birmingham 41 ,352,1 D2 G,9999-12-31,Campus Saint-Jean,02-412 04 80,BRUXELLES-CAPITALE,49,,39,352,Type 1 deuxième degré troisième général transition,"1,73316666777036E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,1080 - MOLENBEEK-SAINT-JEAN - MOLENBEEK-SAINT-JEAN,181038,1 D2 3 G,181038
1 D2 3 G,2014-09-01,Rue de la Rhétorique 16 ,365,1 D2 G,9999-12-31,ATHENEE ROYAL VICTOR HORTA,02-538 27 42,BRUXELLES-CAPITALE,49,,39,365,Type 1 deuxième degré troisième général transition,"1,73316666777456E+018",LANGUE MODERNE II ANGLAIS,WBE,1060 - SAINT-GILLES - SAINT-GILLES,2215,1 D2 3 G,2215
1 D2 3 G,2014-09-01,Rue Théodore Verhaegen 8 ,366,1 D2 G,9999-12-31,INSTITUT DES FILLES DE MARIE,02-537 78 51,BRUXELLES-CAPITALE,49,,39,366,Type 1 deuxième degré troisième général transition,"1,7331666677777E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,1060 - SAINT-GILLES - SAINT-GILLES,181111,1 D2 3 G,181111
1 D2 3 G,2014-09-01,Rue Moris 19 ,367,1 D2 G,9999-12-31,INSTITUT SAINT-JEAN-BAPTISTE DE LA SALLE,02-537 12 43,BRUXELLES-CAPITALE,49,,39,367,Type 1 deuxième degré troisième général transition,"1,7331666677798E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,1060 - SAINT-GILLES - SAINT-GILLES,181136,1 D2 3 G,181136
1 D2 3 P,2014-09-01,Rue Emile Feron 5 ,368,1 D2 P,9999-12-31,INSTITUT SAINTE-MARIE,02-537 41 18,BRUXELLES-CAPITALE,50,,42,368,Type 1 deuxième degré troisième professionnel qualification,"1,73316666778295E+018",ARTS APPLIQUES,Libre confessionnel,1060 - SAINT-GILLES - SAINT-GILLES,181066,1 D2 3 P,181066
1 D2 3 G,2014-09-01,Chaussée de Haecht 68 ,388,1 D2 G,9999-12-31,CENTRE SCOLAIRE DES DAMES DE MARIE-HAECHT-PHILOMENE-LIMITE,02-217 67 47,BRUXELLES-CAPITALE,49,,39,388,Type 1 deuxième degré troisième général transition,"1,73316666778924E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,1210 - SAINT-JOSSE-TEN-NOODE - SAINT-JOSSE-TEN-NOODE,181174,1 D2 3 G,181174
1 D2 3 G,2014-09-01,Rue de Liedekerke 66 ,390,1 D2 G,9999-12-31,LYCEE GUY CUDELL,02-220 28 10,BRUXELLES-CAPITALE,49,,39,390,Type 1 deuxième degré troisième général transition,"1,73316666779448E+018",LANGUE MODERNE I NEERLANDAIS,Subventionné communal,1210 - SAINT-JOSSE-TEN-NOODE - SAINT-JOSSE-TEN-NOODE,181154,1 D2 3 G,181154
1 D2 3 G,2014-09-01,Rue Verwée 12 ,419,1 D2 G,9999-12-31,ATHENEE ROYAL ALFRED VERWEE,02-244 91 91,BRUXELLES-CAPITALE,49,,39,419,Type 1 deuxième degré troisième général transition,"1,73316666779972E+018",LANGUE MODERNE II ANGLAIS,WBE,1030 - SCHAERBEEK - SCHAERBEEK,587,1 D2 3 G,587
1 D2 3 G,2014-09-01,Avenue Ernest Renan 12 ,420,1 D2 G,9999-12-31,ATHENEE COMMUNAL FERNAND BLUM,02-243 17 80,BRUXELLES-CAPITALE,49,,39,420,Type 1 deuxième degré troisième général transition,"1,73316666780392E+018",LANGUE MODERNE I NEERLANDAIS,Subventionné communal,1030 - SCHAERBEEK - SCHAERBEEK,181199,1 D2 3 G,181199
1 D2 3 G,2014-09-01,Chaussée de Haecht 235 ,421,1 D2 G,9999-12-31,LYCEE COMMUNAL EMILE MAX,02-240 43 40,BRUXELLES-CAPITALE,49,,39,421,Type 1 deuxième degré troisième général transition,"1,73316666780602E+018",LANGUE MODERNE I NEERLANDAIS,Subventionné communal,1030 - SCHAERBEEK - SCHAERBEEK,181215,1 D2 3 G,181215
1 D2 3 G,2014-09-01,Chaussée de Haecht 164 ,422,1 D2 G,9999-12-31,CENTRE SCOLAIRE SAINTE-MARIE - LA SAGESSE,02-216 81 67,BRUXELLES-CAPITALE,49,,39,422,Type 1 deuxième degré troisième général transition,"1,73316666781021E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,1030 - SCHAERBEEK - SCHAERBEEK,181263,1 D2 3 G,181263
1 D2 3 G,2014-09-01,Rue Chaumontel 9 ,423,1 D2 G,9999-12-31,INSTITUT DE LA SAINTE-FAMILLE D'HELMET,02-216 61 81,BRUXELLES-CAPITALE,49,,39,423,Type 1 deuxième degré troisième général transition,"1,73316666781336E+018",LANGUE MODERNE I NEERLANDAIS,Libre confessionnel,1030 - SCHAERBEEK - SCHAERBEEK,181309,1 D2 3 G,181309
