RESEAU,NUMERO_FASE_PO,NOM_PO,ADRS_PO,CP_LOC_COM_PO,NUMERO_FASE_ETAB,NOM_ETAB,ADRS_ETAB,CP_LOC_COM_ETAB,PROV_ETAB,CARACTERE,CONFESSION,QUALITE_DIRECTEUR_ETAB,NOM_DIRECTEUR_ETAB,PRENOM_DIRECTEUR_ETAB,NUMERO_FASE_IMPL,DT_DEBUT,DT_FIN,NOM_IMPL,ADRS_IMPL,CP_LOC_COM_IMPL,UNITE,NUMERO_FASE_IMPL_ETAB
Subventionné communal                                       ,1138,Ville de Liège,RUE DE L ORJO 40 ,5100 - NAMUR - NAMUR,5381,ATHENEE COMMUNAL LEONIE DE WAHA,Boulevard d'Avroy 96 ,4000 - LIEGE - LIEGE,LIEGE                                                       ,Non confessionnel                                 ,,Monsieur                                                                                            ,Creeten                       ,Rudi                          ,3918,2003-09-01,,3918,Boulevard d'Avroy 96 ,4000 - LIEGE - LIEGE,Secondaire ordinaire                                        ,3918-5381
Subventionné communal                                       ,1138,Ville de Liège,RUE DE L ORJO 40 ,5100 - NAMUR - NAMUR,1995,ATHENEE COMMUNAL MAURICE DESTENAY                                                                                                                                                                                                                         ,Boulevard Saucy 16 ,4020 - LIEGE - LIEGE,LIEGE                                                       ,Non confessionnel                                 ,,Madame                                                                                              ,Pauwen                        ,Muriel                        ,3918,2000-09-01,2003-08-31,3918,Boulevard d'Avroy 96 ,4000 - LIEGE - LIEGE,Secondaire ordinaire                                        ,3918-1995
Subventionné communal                                       ,1138,Ville de Liège,RUE DE L ORJO 40 ,5100 - NAMUR - NAMUR,1995,ATHENEE COMMUNAL MAURICE DESTENAY                                                                                                                                                                                                                         ,Boulevard Saucy 16 ,4020 - LIEGE - LIEGE,LIEGE                                                       ,Non confessionnel                                 ,,Madame                                                                                              ,Pauwen                        ,Muriel                        ,3919,1900-01-01,,3919,Boulevard Saucy 16 ,4020 - LIEGE - LIEGE,Secondaire ordinaire                                        ,3919-1995
Subventionné communal                                       ,1138,Ville de Liège,RUE DE L ORJO 40 ,5100 - NAMUR - NAMUR,1995,ATHENEE COMMUNAL MAURICE DESTENAY                                                                                                                                                                                                                         ,Boulevard Saucy 16 ,4020 - LIEGE - LIEGE,LIEGE                                                       ,Non confessionnel                                 ,,Madame                                                                                              ,Pauwen                        ,Muriel                        ,4031,2005-07-06,,4031,Rue Georges Simenon 13 ,4020 - LIEGE - LIEGE,Secondaire ordinaire                                        ,4031-1995
Subventionné communal                                       ,1138,Ville de Liège,RUE DE L ORJO 40 ,5100 - NAMUR - NAMUR,1995,ATHENEE COMMUNAL MAURICE DESTENAY                                                                                                                                                                                                                         ,Boulevard Saucy 16 ,4020 - LIEGE - LIEGE,LIEGE                                                       ,Non confessionnel                                 ,,Madame                                                                                              ,Pauwen                        ,Muriel                        ,10207,2014-09-01,,10207,Rue Lairesse 101 ,4020 - LIEGE - LIEGE,Secondaire ordinaire                                        ,10207-1995
Subventionné communal                                       ,1138,Ville de Liège,RUE DE L ORJO 40 ,5100 - NAMUR - NAMUR,1995,ATHENEE COMMUNAL MAURICE DESTENAY                                                                                                                                                                                                                         ,Boulevard Saucy 16 ,4020 - LIEGE - LIEGE,LIEGE                                                       ,Non confessionnel                                 ,,Madame                                                                                              ,Pauwen                        ,Muriel                        ,10360,2015-09-01,,10360,Rue Lairesse 101 ,4020 - LIEGE - LIEGE,Secondaire CEFA                                             ,10360-1995
Subventionné communal                                       ,1057,Ville de Bruxelles,Boulevard Anspach 6 ,1000 - BRUXELLES - BRUXELLES,134,ATHENEE DES PAGODES,Rue de Beyseghem 141 ,1120 - BRUXELLES - NEDER-OVER-HEEMBEEK,BRUXELLES-CAPITALE                                          ,Non confessionnel                                 ,,Monsieur                                                                                            ,Hannon                        ,Charly                        ,204,2001-09-01,,204,Rue de Beyseghem 141 ,1120 - BRUXELLES - NEDER-OVER-HEEMBEEK,Secondaire ordinaire                                        ,204-134
Subventionné communal                                       ,1057,Ville de Bruxelles,Boulevard Anspach 6 ,1000 - BRUXELLES - BRUXELLES,129,ATHENEE EMILE BOCKSTAEL,Rue Reper-Vreven 80 ,1020 - BRUXELLES - LAEKEN,BRUXELLES-CAPITALE                                          ,Non confessionnel                                 ,,Monsieur                                                                                            ,Capers                        ,Pierre                        ,197,1900-01-01,,197,Rue Reper-Vreven 80 ,1020 - BRUXELLES - LAEKEN,Secondaire ordinaire                                        ,197-129
Subventionné communal                                       ,1057,Ville de Bruxelles,Boulevard Anspach 6 ,1000 - BRUXELLES - BRUXELLES,129,ATHENEE EMILE BOCKSTAEL,Rue Reper-Vreven 80 ,1020 - BRUXELLES - LAEKEN,BRUXELLES-CAPITALE                                          ,Non confessionnel                                 ,,Monsieur                                                                                            ,Capers                        ,Pierre                        ,10147,2012-09-01,2012-09-01,10147,AVENUE DES CATTLEYAS 59 ,1150 - WOLUWE-SAINT-PIERRE - WOLUWE-SAINT-PIERRE,Secondaire ordinaire                                        ,10147-129
Libre confessionnel                                         ,84,Athénée Ganenou Nathan Blomhof                                                                                                                                                                                                                            ,Rue du Melkriek 3 ,1180 - UCCLE - UCCLE,480,ATHENEE GANENOU,Rue du Melkriek 3 ,1180 - UCCLE - UCCLE,BRUXELLES-CAPITALE                                          ,Confessionnel                                     ,Israélite                                         ,Madame                                                                                              ,Lamy                          ,Lionelle                      ,890,1900-01-01,,890,Rue du Melkriek 3 ,1180 - UCCLE - UCCLE,Secondaire ordinaire                                        ,890-480
Subventionné communal                                       ,1136,Collège des Bourgmestre et Echevins de la commune d'Anderlecht,Place du Conseil 1 ,1070 - ANDERLECHT - ANDERLECHT,3156,ATHENEE JOSEPH BRACOPS,Rue de la Procession 78 ,1070 - ANDERLECHT - ANDERLECHT,BRUXELLES-CAPITALE                                          ,Non confessionnel                                 ,,Monsieur                                                                                            ,Vastenaekel                   ,Yves                          ,43,1900-01-01,,43,Rue de la Procession 78 ,1070 - ANDERLECHT - ANDERLECHT,Secondaire ordinaire                                        ,43-3156
Subventionné communal                                       ,1057,Ville de Bruxelles,Boulevard Anspach 6 ,1000 - BRUXELLES - BRUXELLES,127,ATHENEE LEON LEPAGE,Rue des Riches Claires 30 ,1000 - BRUXELLES - BRUXELLES,BRUXELLES-CAPITALE                                          ,Non confessionnel                                 ,,Madame                                                                                              ,Braipson                      ,Michèle                       ,194,1997-09-01,,194,Rue des Riches Claires 30 ,1000 - BRUXELLES - BRUXELLES,Secondaire ordinaire                                        ,194-127
Subventionné communal                                       ,1057,Ville de Bruxelles,Boulevard Anspach 6 ,1000 - BRUXELLES - BRUXELLES,95314,ATHENEE MARGUERITE YOURCENAR,AVENUE DES CATTLEYAS 59 ,1150 - WOLUWE-SAINT-PIERRE - WOLUWE-SAINT-PIERRE,BRUXELLES-CAPITALE                                          ,Non confessionnel                                 ,,Madame                                                                                              ,Smits                         ,Catherine                     ,10147,2012-09-01,,10147,AVENUE DES CATTLEYAS 59 ,1150 - WOLUWE-SAINT-PIERRE - WOLUWE-SAINT-PIERRE,Secondaire ordinaire                                        ,10147-95314
Subventionné provincial                                     ,1301,Province du Hainaut,Avenue du Général de Gaulle 102 ,7000 - MONS - MONS,1419,ATHENEE PROVINCIAL,Boulevard du Tivoli 2B ,7100 - LA LOUVIERE - LA LOUVIERE,HAINAUT                                                     ,Non confessionnel                                 ,,Monsieur                                                                                            ,Boon                          ,Robert                        ,2848,2011-09-01,,2848,Rue Paul Pastur 1 ,7100 - LA LOUVIERE - LA LOUVIERE,Secondaire CEFA                                             ,2848-1419
Subventionné provincial                                     ,1301,Province du Hainaut,Avenue du Général de Gaulle 102 ,7000 - MONS - MONS,1419,ATHENEE PROVINCIAL,Boulevard du Tivoli 2B ,7100 - LA LOUVIERE - LA LOUVIERE,HAINAUT                                                     ,Non confessionnel                                 ,,Monsieur                                                                                            ,Boon                          ,Robert                        ,2849,2011-09-01,,2849,Rue Paul Pastur 1 ,7100 - LA LOUVIERE - LA LOUVIERE,Secondaire ordinaire                                        ,2849-1419
Subventionné provincial                                     ,1301,Province du Hainaut,Avenue du Général de Gaulle 102 ,7000 - MONS - MONS,1419,ATHENEE PROVINCIAL,Boulevard du Tivoli 2B ,7100 - LA LOUVIERE - LA LOUVIERE,HAINAUT                                                     ,Non confessionnel                                 ,,Monsieur                                                                                            ,Boon                          ,Robert                        ,2851,1900-01-01,,2851,Boulevard du Tivoli 2B ,7100 - LA LOUVIERE - LA LOUVIERE,Secondaire ordinaire                                        ,2851-1419
Subventionné provincial                                     ,1301,Province du Hainaut,Avenue du Général de Gaulle 102 ,7000 - MONS - MONS,1736,ATHENEE PROVINCIAL,Rue du Rempart 16 ,7900 - LEUZE-EN-HAINAUT - LEUZE-EN-HAINAUT,HAINAUT                                                     ,Non confessionnel                                 ,,Madame                                                                                              ,Vanderstocken                 ,Jacqueline                    ,3452,1900-01-01,,3452,Rue du Rempart 16 ,7900 - LEUZE-EN-HAINAUT - LEUZE-EN-HAINAUT,Secondaire ordinaire                                        ,3452-1736
Subventionné provincial                                     ,1301,Province du Hainaut,Avenue du Général de Gaulle 102 ,7000 - MONS - MONS,1736,ATHENEE PROVINCIAL,Rue du Rempart 16 ,7900 - LEUZE-EN-HAINAUT - LEUZE-EN-HAINAUT,HAINAUT                                                     ,Non confessionnel                                 ,,Madame                                                                                              ,Vanderstocken                 ,Jacqueline                    ,6706,2012-09-01,,6706,Rue Saint-Eleuthère 16 ,7500 - TOURNAI - TOURNAI,Secondaire CEFA                                             ,6706-1736
Subventionné provincial                                     ,1301,Province du Hainaut,Avenue du Général de Gaulle 102 ,7000 - MONS - MONS,1736,ATHENEE PROVINCIAL,Rue du Rempart 16 ,7900 - LEUZE-EN-HAINAUT - LEUZE-EN-HAINAUT,HAINAUT                                                     ,Non confessionnel                                 ,,Madame                                                                                              ,Vanderstocken                 ,Jacqueline                    ,9293,2012-09-01,2015-08-31,9293,Boulevard Léopold III 40 ,7600 - PERUWELZ - PERUWELZ,Secondaire CEFA                                             ,9293-1736
Subventionné provincial                                     ,1301,Province du Hainaut,Avenue du Général de Gaulle 102 ,7000 - MONS - MONS,1736,ATHENEE PROVINCIAL,Rue du Rempart 16 ,7900 - LEUZE-EN-HAINAUT - LEUZE-EN-HAINAUT,HAINAUT                                                     ,Non confessionnel                                 ,,Madame                                                                                              ,Vanderstocken                 ,Jacqueline                    ,9295,2007-01-01,,9295,Rue du Rempart 16 ,7900 - LEUZE-EN-HAINAUT - LEUZE-EN-HAINAUT,Secondaire CEFA                                             ,9295-1736
Subventionné provincial                                     ,1299,Province de Liège - Direction générale de la Formation,Rue du Commerce 14 ,4100 - SERAING - SERAING,2215,ATHENEE PROVINCIAL DE FLEMALLE GUY LANG,Grand'Route 317 ,4400 - FLEMALLE - FLEMALLE,LIEGE                                                       ,Non confessionnel                                 ,,Monsieur                                                                                            ,Dispa                         ,Yves                          ,4463,1900-01-01,,4463,Grand'Route 317 ,4400 - FLEMALLE - FLEMALLE,Secondaire ordinaire                                        ,4463-2215
Subventionné provincial                                     ,1299,Province de Liège - Direction générale de la Formation,Rue du Commerce 14 ,4100 - SERAING - SERAING,2215,ATHENEE PROVINCIAL DE FLEMALLE GUY LANG,Grand'Route 317 ,4400 - FLEMALLE - FLEMALLE,LIEGE                                                       ,Non confessionnel                                 ,,Monsieur                                                                                            ,Dispa                         ,Yves                          ,8259,2007-01-01,,8259,Grand'Route 317 ,4400 - FLEMALLE - FLEMALLE,Secondaire CEFA                                             ,8259-2215
Subventionné provincial                                     ,1301,Province du Hainaut,Avenue du Général de Gaulle 102 ,7000 - MONS - MONS,1229,ATHENEE PROVINCIAL JEAN D'AVESNES,Av du Gouverneur E. Cornez 1 ,7000 - MONS - MONS,HAINAUT                                                     ,Non confessionnel                                 ,,Madame                                                                                              ,Stievenart                    ,Monique                       ,2369,2007-09-01,2011-08-31,2369,Avenue Reine Astrid 50 ,7000 - MONS - MONS,Secondaire ordinaire                                        ,2369-1229
Subventionné provincial                                     ,1301,Province du Hainaut,Avenue du Général de Gaulle 102 ,7000 - MONS - MONS,1229,ATHENEE PROVINCIAL JEAN D'AVESNES,Av du Gouverneur E. Cornez 1 ,7000 - MONS - MONS,HAINAUT                                                     ,Non confessionnel                                 ,,Madame                                                                                              ,Stievenart                    ,Monique                       ,2369,2015-09-01,,2369,Avenue Reine Astrid 50 ,7000 - MONS - MONS,Secondaire ordinaire                                        ,2369-1229
Subventionné provincial                                     ,1301,Province du Hainaut,Avenue du Général de Gaulle 102 ,7000 - MONS - MONS,1229,ATHENEE PROVINCIAL JEAN D'AVESNES,Av du Gouverneur E. Cornez 1 ,7000 - MONS - MONS,HAINAUT                                                     ,Non confessionnel                                 ,,Madame                                                                                              ,Stievenart                    ,Monique                       ,2429,1900-01-01,,2429,Av du Gouverneur E. Cornez 1 ,7000 - MONS - MONS,Secondaire ordinaire                                        ,2429-1229
Subventionné provincial                                     ,1301,Province du Hainaut,Avenue du Général de Gaulle 102 ,7000 - MONS - MONS,1229,ATHENEE PROVINCIAL JEAN D'AVESNES,Av du Gouverneur E. Cornez 1 ,7000 - MONS - MONS,HAINAUT                                                     ,Non confessionnel                                 ,,Madame                                                                                              ,Stievenart                    ,Monique                       ,8992,2006-09-01,,8992,Av du Gouverneur E. Cornez 1 ,7000 - MONS - MONS,Secondaire CEFA                                             ,8992-1229
Subventionné provincial                                     ,1301,Province du Hainaut,Avenue du Général de Gaulle 102 ,7000 - MONS - MONS,1229,ATHENEE PROVINCIAL JEAN D'AVESNES,Av du Gouverneur E. Cornez 1 ,7000 - MONS - MONS,HAINAUT                                                     ,Non confessionnel                                 ,,Madame                                                                                              ,Stievenart                    ,Monique                       ,10357,2015-09-01,,10357,Avenue Reine Astrid 50 ,7000 - MONS - MONS,Secondaire CEFA                                             ,10357-1229
Subventionné provincial                                     ,1301,Province du Hainaut,Avenue du Général de Gaulle 102 ,7000 - MONS - MONS,1229,ATHENEE PROVINCIAL JEAN D'AVESNES,Av du Gouverneur E. Cornez 1 ,7000 - MONS - MONS,HAINAUT                                                     ,Non confessionnel                                 ,,Madame                                                                                              ,Stievenart                    ,Monique                       ,10358,2015-09-01,,10358,RUE DE MONGOMBROUX 83  ,4800 - VERVIERS - VERVIERS,Secondaire ordinaire                                        ,10358-1229
Subventionné provincial                                     ,1301,Province du Hainaut,Avenue du Général de Gaulle 102 ,7000 - MONS - MONS,1229,ATHENEE PROVINCIAL JEAN D'AVESNES,Av du Gouverneur E. Cornez 1 ,7000 - MONS - MONS,HAINAUT                                                     ,Non confessionnel                                 ,,Madame                                                                                              ,Stievenart                    ,Monique                       ,10359,2015-09-01,,10359,RUE DE MONGOMBROUX 83  ,4800 - VERVIERS - VERVIERS,Secondaire CEFA                                             ,10359-1229
Subventionné provincial                                     ,1301,Province du Hainaut,Avenue du Général de Gaulle 102 ,7000 - MONS - MONS,1594,ATHENEE PROVINCIAL WAROCQUE,Rue de l'Enseignement 8-10 ,7140 - MORLANWELZ - MORLANWELZ-MARIEMONT,HAINAUT                                                     ,Non confessionnel                                 ,,Madame                                                                                              ,Cornet                        ,Claudine                      ,2110,1996-09-01,,2110,Rue du Parc 25 ,7170 - MANAGE - LA HESTRE,Secondaire ordinaire                                        ,2110-1594
Subventionné provincial                                     ,1301,Province du Hainaut,Avenue du Général de Gaulle 102 ,7000 - MONS - MONS,1594,ATHENEE PROVINCIAL WAROCQUE,Rue de l'Enseignement 8-10 ,7140 - MORLANWELZ - MORLANWELZ-MARIEMONT,HAINAUT                                                     ,Non confessionnel                                 ,,Madame                                                                                              ,Cornet                        ,Claudine                      ,2112,1996-09-01,,2112,Rue du Parc 20 ,7160 - CHAPELLE-LEZ-HERLAIMONT - CHAPELLE-LEZ-HERLAIMONT,Secondaire ordinaire                                        ,2112-1594
Subventionné provincial                                     ,1301,Province du Hainaut,Avenue du Général de Gaulle 102 ,7000 - MONS - MONS,1594,ATHENEE PROVINCIAL WAROCQUE,Rue de l'Enseignement 8-10 ,7140 - MORLANWELZ - MORLANWELZ-MARIEMONT,HAINAUT                                                     ,Non confessionnel                                 ,,Madame                                                                                              ,Cornet                        ,Claudine                      ,3188,1900-01-01,,3188,Rue de l'Enseignement 8-10 ,7140 - MORLANWELZ - MORLANWELZ-MARIEMONT,Secondaire ordinaire                                        ,3188-1594
Subventionné provincial                                     ,1301,Province du Hainaut,Avenue du Général de Gaulle 102 ,7000 - MONS - MONS,1594,ATHENEE PROVINCIAL WAROCQUE,Rue de l'Enseignement 8-10 ,7140 - MORLANWELZ - MORLANWELZ-MARIEMONT,HAINAUT                                                     ,Non confessionnel                                 ,,Madame                                                                                              ,Cornet                        ,Claudine                      ,10022,2011-09-01,,10022,Rue du Parc 20 ,7160 - CHAPELLE-LEZ-HERLAIMONT - CHAPELLE-LEZ-HERLAIMONT,Secondaire CEFA                                             ,10022-1594
Subventionné communal                                       ,1057,Ville de Bruxelles,Boulevard Anspach 6 ,1000 - BRUXELLES - BRUXELLES,126,ATHENEE ROBERT CATTEAU,Rue Ernest Allard 49 ,1000 - BRUXELLES - BRUXELLES,BRUXELLES-CAPITALE                                          ,Non confessionnel                                 ,,Madame                                                                                              ,Gotto                         ,Evelyne                       ,193,1900-01-01,,193,Rue Ernest Allard 49 ,1000 - BRUXELLES - BRUXELLES,Secondaire ordinaire                                        ,193-126
WBE                                                         ,478,Wallonie-Bruxelles Enseignement,Boulevard Léopold II 44 ,1080 - MOLENBEEK-SAINT-JEAN - MOLENBEEK-SAINT-JEAN,2123,"ATHENEE ROYAL ""AIR PUR""",Rue des Nations-Unies 1 ,4100 - SERAING - SERAING,LIEGE                                                       ,Non confessionnel                                 ,,Monsieur                                                                                            ,Cools                         ,Frédéric                      ,4252,1900-01-01,,4252,Rue des Nations-Unies 1 ,4100 - SERAING - SERAING,Secondaire ordinaire                                        ,4252-2123
WBE                                                         ,478,Wallonie-Bruxelles Enseignement,Boulevard Léopold II 44 ,1080 - MOLENBEEK-SAINT-JEAN - MOLENBEEK-SAINT-JEAN,3131,"ATHENEE ROYAL ""JEAN ROSTAND"" DE PHILIPPEVILLE",Avenue de Samart 2 B ,5600 - PHILIPPEVILLE - PHILIPPEVILLE,NAMUR                                                       ,Non confessionnel                                 ,,Monsieur                                                                                            ,Bultot                        ,Laurent                       ,6224,1900-01-01,,6224,Avenue de Samart 2 B ,5600 - PHILIPPEVILLE - PHILIPPEVILLE,Secondaire ordinaire                                        ,6224-3131
WBE                                                         ,478,Wallonie-Bruxelles Enseignement,Boulevard Léopold II 44 ,1080 - MOLENBEEK-SAINT-JEAN - MOLENBEEK-SAINT-JEAN,1787,ATHENEE ROYAL AGRI-SAINT-GEORGES,Rue Saint-Victor 5 ,4500 - HUY - HUY,LIEGE                                                       ,Non confessionnel                                 ,,Madame                                                                                              ,Musick                        ,Isabelle                      ,3560,1900-01-01,,3560,Rue Saint-Victor 5 ,4500 - HUY - HUY,Secondaire ordinaire                                        ,3560-1787
WBE                                                         ,478,Wallonie-Bruxelles Enseignement,Boulevard Léopold II 44 ,1080 - MOLENBEEK-SAINT-JEAN - MOLENBEEK-SAINT-JEAN,1787,ATHENEE ROYAL AGRI-SAINT-GEORGES,Rue Saint-Victor 5 ,4500 - HUY - HUY,LIEGE                                                       ,Non confessionnel                                 ,,Madame                                                                                              ,Musick                        ,Isabelle                      ,4844,2017-09-01,,4844,Rue Eloi Fouarge 31 ,4470 - SAINT-GEORGES-SUR-MEUSE - SAINT-GEORGES-SUR-MEUSE,Secondaire ordinaire                                        ,4844-1787
WBE                                                         ,478,Wallonie-Bruxelles Enseignement,Boulevard Léopold II 44 ,1080 - MOLENBEEK-SAINT-JEAN - MOLENBEEK-SAINT-JEAN,419,ATHENEE ROYAL ALFRED VERWEE,Rue Verwée 12 ,1030 - SCHAERBEEK - SCHAERBEEK,BRUXELLES-CAPITALE                                          ,Non confessionnel                                 ,,Monsieur                                                                                            ,Molle                         ,Jean-Philippe                 ,768,1996-09-01,,768,Rue Royale Sainte-Marie 168 ,1030 - SCHAERBEEK - SCHAERBEEK,Secondaire ordinaire                                        ,768-419
WBE                                                         ,478,Wallonie-Bruxelles Enseignement,Boulevard Léopold II 44 ,1080 - MOLENBEEK-SAINT-JEAN - MOLENBEEK-SAINT-JEAN,419,ATHENEE ROYAL ALFRED VERWEE,Rue Verwée 12 ,1030 - SCHAERBEEK - SCHAERBEEK,BRUXELLES-CAPITALE                                          ,Non confessionnel                                 ,,Monsieur                                                                                            ,Molle                         ,Jean-Philippe                 ,770,1900-01-01,,770,Rue Verwée 12 ,1030 - SCHAERBEEK - SCHAERBEEK,Secondaire ordinaire                                        ,770-419
WBE                                                         ,478,Wallonie-Bruxelles Enseignement,Boulevard Léopold II 44 ,1080 - MOLENBEEK-SAINT-JEAN - MOLENBEEK-SAINT-JEAN,246,ATHENEE ROYAL ANDREE THOMAS,Avenue Reine Marie-Henriette 47 ,1190 - FOREST - FOREST,BRUXELLES-CAPITALE                                          ,Non confessionnel                                 ,,Madame                                                                                              ,Heyndrickx                    ,Dominique                     ,402,1900-01-01,,402,Avenue Reine Marie-Henriette 47 ,1190 - FOREST - FOREST,Secondaire ordinaire                                        ,402-246
WBE                                                         ,478,Wallonie-Bruxelles Enseignement,Boulevard Léopold II 44 ,1080 - MOLENBEEK-SAINT-JEAN - MOLENBEEK-SAINT-JEAN,2272,ATHENEE ROYAL ARDENNE - HAUTES FAGNES,Route de Falize 21 ,4960 - MALMEDY - MALMEDY,LIEGE                                                       ,Non confessionnel                                 ,,Madame                                                                                              ,Julien                        ,Françoise                     ,4560,1900-01-01,,4560,Route de Falize 21 ,4960 - MALMEDY - MALMEDY,Secondaire ordinaire                                        ,4560-2272
WBE                                                         ,478,Wallonie-Bruxelles Enseignement,Boulevard Léopold II 44 ,1080 - MOLENBEEK-SAINT-JEAN - MOLENBEEK-SAINT-JEAN,2272,ATHENEE ROYAL ARDENNE - HAUTES FAGNES,Route de Falize 21 ,4960 - MALMEDY - MALMEDY,LIEGE                                                       ,Non confessionnel                                 ,,Madame                                                                                              ,Julien                        ,Françoise                     ,4617,1998-09-01,,4617,Haute Levée 3 ,4970 - STAVELOT - STAVELOT,Secondaire ordinaire                                        ,4617-2272
