"NS_PE_ID","NS_HABI_ID","CO_PE_ETAB","TE_OPTION","NS_OBJ_ACA_ID_APP"
195,419,ULB167,Master de spécialisation en neurochirurgie,3393
196,420,ULB168,Master de spécialisation en neurologie,3393
197,421,ULB169,Master de spécialisation en oncologie médicale,3393
198,422,ULB170,Master de spécialisation en ophtalmologie,3393
199,423,ULB171,Master de spécialisation en oto-rhino-laryngologie,3393
200,424,ULB172,Master de spécialisation en pédiatrie,3393
201,425,ULB173,Master de spécialisation en pneumologie,3393
203,427,ULB175,"Master de spécialisation en psychiatrie, orientation psychiatrie infanto juvénile",3393
204,428,ULB176,"Master de spécialisation en psychiatrie, orientation psychiatrie de l'adulte",3393
205,429,ULB177,Master de spécialisation en radiodiagnostic,3393
206,430,ULB178,Master de spécialisation en radiothérapie-oncologie,3393
207,431,ULB179,Master de spécialisation en rhumatologie,3393
208,432,ULB180,Master de spécialisation en stomatologie,3393
209,433,ULB181,Master de spécialisation en urologie,3393
210,434,ULB182,Bachelier en médecine vétérinaire,3393
211,435,ULB183,Bachelier en sciences dentaires,3393
212,436,ULB184,"Master en sciences dentaires, à finalité spécialisée",3393
213,437,ULB185,Master de spécialisation en dentisterie générale,3393
214,438,ULB186,Master de spécialisation en orthodontie,3393
215,439,ULB187,Bachelier en sciences biomédicales,3393
216,440,ULB188,Master en sciences biomédicales,3393
217,441,ULB189,"Master en sciences biomédicales, à finalité approfondie",3393
218,441,ULB190,"Master en sciences biomédicales, à finalité spécialisée",3393
219,442,ULB191,Bachelier en sciences pharmaceutiques,3393
220,443,ULB192,"Master en sciences pharmaceutiques, à finalité spécialisée",3393
221,444,ULB193,Master de spécialisation en biologie clinique (pour pharmaciens),3393
222,445,ULB194,"Master en sciences de la santé publique, à finalité spécialisée épidémiologie et biostatistiques",3393
223,445,ULB195,"Master en sciences de la santé publique, à finalité spécialisée santé environnementale",3393
224,445,ULB196,"Master en sciences de la santé publique, à finalité spécialisée gestion des établissements et services de soins",3393
225,445,ULB197,"Master en sciences de la santé publique, à finalité spécialisée politiques, systèmes et promotion de la santé",3393
226,446,ULB198,"Bachelier en sciences de la motricité, orientation générale",3393
227,447,ULB199,"Master en sciences de la motricité, orientation générale, à finalité approfondie",3393
228,447,ULB200,"Master en sciences de la motricité, orientation générale, à finalité spécialisée pathologies sportives",3393
229,447,ULB201,"Master en sciences de la motricité, orientation générale, à finalité spécialisée ostéopathie",3393
230,447,ULB202,"Master en sciences de la motricité, orientation générale, à finalité spécialisée santé, fitness et nutrition",3393
231,448,ULB203,"Master en sciences de la motricité, orientation éducation physique",3393
232,449,ULB204,"Master en sciences de la motricité, orientation éducation physique, à finalité didactique",3393
233,449,ULB205,"Master en sciences de la motricité, orientation éducation physique, à finalité spécialisée préparation physique",3393
234,449,ULB206,"Master en sciences de la motricité, orientation éducation physique, à finalité spécialisée entraînement et coaching",3393
235,449,ULB207,"Master en sciences de la motricité, orientation éducation physique, à finalité spécialisée européenne en préparation physique, mentale et réathlétisation",3393
236,450,ULB208,Bachelier en kinésithérapie et réadaptation,3393
237,451,ULB209,Master en kinésithérapie et réadaptation (60),3393
238,452,ULB210,Master de spécialisation en ostéopathie,3393
239,453,ULB211,Bachelier en sciences biologiques,3393
240,454,ULB212,"Master en biochimie et biologie moléculaire et cellulaire, à finalité approfondie",3393
241,454,ULB213,"Master en biochimie et biologie moléculaire et cellulaire, à finalité didactique",3393
243,455,ULB215,"Master en biologie des organismes et écologie, à finalité approfondie",3393
244,455,ULB216,"Master en biologie des organismes et écologie, à finalité didactique",3393
245,456,ULB217,"Master en biologie des organismes et écologie, à finalité spécialisée Erasmus Mundus Masters Course in Tropical Biodiversity and Ecosystems (Tropimundo)",3393
246,457,ULB218,"Master en bioinformatique et modélisation, à finalité approfondie",3393
247,458,ULB219,Bachelier en sciences chimiques,3393
248,459,ULB220,"Master en sciences chimiques, à finalité approfondie",3393
249,459,ULB221,"Master en sciences chimiques, à finalité didactique",3393
250,459,ULB222,"Master en sciences chimiques, à finalité spécialisée",3393
251,460,ULB223,Bachelier en sciences géologiques,3393
252,461,ULB224,"Master en sciences géologiques, à finalité approfondie",3393
253,462,ULB225,"Bachelier en sciences géographiques, orientation générale",3393
255,464,ULB227,"Master en sciences géographiques, orientation générale, à finalité didactique",3393
256,464,ULB228,"Master en sciences géographiques, orientation générale, à finalité spécialisée développement territorial",3393
257,465,ULB229,"Master en sciences géographiques, orientation générale, à finalité spécialisée Erasmus Mundus Urban Studies (4 Cities)",3393
258,466,ULB230,Master en sciences et gestion de l'environnement,3393
259,467,ULB231,"Master en sciences et gestion de l'environnement, à finalité spécialisée sciences de l'environnement",3393
260,467,ULB232,"Master en sciences et gestion de l'environnement, à finalité spécialisée gestion de l'environnement",3393
261,468,ULB233,Master en sciences et gestion du tourisme,3393
262,469,ULB234,"Master en sciences et gestion du tourisme, à finalité spécialisée",3393
263,470,ULB235,Bachelier en sciences informatiques,3393
264,471,ULB236,"Master en sciences informatiques, à finalité spécialisée",3393
265,472,ULB237,Bachelier en sciences mathématiques,3393
266,473,ULB238,"Master en sciences mathématiques, à finalité approfondie",3393
267,473,ULB239,"Master en sciences mathématiques, à finalité didactique",3393
268,474,ULB240,"Master en statistiques, orientation générale, à finalité approfondie",3393
269,475,ULB241,"Master en sciences actuarielles, à finalité spécialisée",3393
270,476,ULB242,Bachelier en sciences physiques,3393
271,477,ULB243,"Master en sciences physiques, à finalité approfondie",3393
272,477,ULB244,"Master en sciences physiques, à finalité didactique",3393
273,478,ULB245,"Bachelier en sciences de l'ingénieur, orientation bioingénieur",3393
274,479,ULB246,"Master : bioingénieur en chimie et bioindustries, à finalité spécialisée ",3393
275,480,ULB247,"Master : bioingénieur en sciences et technologies de l'environnement, à finalité spécialisée",3393
276,481,ULB248,"Master : bioingénieur en sciences agronomiques, à finalité spécialisée",3393
277,482,ULB249,"Bachelier en sciences de l'ingénieur, orientation ingénieur civil",3393
278,483,ULB250,"Master : ingénieur civil biomédical, à finalité spécialisée",3393
279,484,ULB251,"Master : ingénieur civil des constructions, à finalité spécialisée civil engineering, professional focus",3393
280,485,ULB252,"Master : ingénieur civil électricien, à finalité spécialisée electrical engineering, professional focus",3393
281,486,ULB253,"Master : ingénieur civil électromécanicien, à finalité spécialisée electro-mechanical engineering, professional focus",3393
282,486,ULB254,"Master : ingénieur civil électromécanicien, à finalité spécialisée gestion et technologies",3393
283,487,ULB255,"Master : ingénieur civil en chimie et science des matériaux, à finalité spécialisée chemical and materials engineering, professional focus",3393
284,488,ULB256,"Master : ingénieur civil en informatique, à finalité spécialisée",3393
286,488,ULB258,"Master : ingénieur civil en informatique, à finalité spécialisée Big Data Management and Analytics (Erasmus Mundus)",3393
287,489,ULB259,"Master : ingénieur civil physicien, à finalité spécialisée",3393
288,490,ULB260,Master de spécialisation en transport et logistique,3393
289,491,ULB261,Master de spécialisation en gestion industrielle et technologique,3393
290,492,ULB262,Bachelier en architecture,3393
291,493,ULB263,"Master en architecture, à finalité spécialisée",3393
292,494,ULB264,"Bachelier en sciences de l'ingénieur, orientation ingénieur civil architecte",3393
293,495,ULB265,"Master : ingénieur civil architecte, à finalité spécialisée architecture and engineering",3393
294,496,ULB266,Master de spécialisation en urbanisme et aménagement du territoire,3393
295,497,ULB267,"Master en arts du spectacle, à finalité appliquée : spectacle vivant",3393
296,497,ULB268,"Master en arts du spectacle, à finalité didactique",3393
297,497,ULB269,"Master en arts du spectacle, à finalité spécialisée écriture et analyse cinématographiques",3393
298,497,ULB270,"Master en arts du spectacle, à finalité spécialisée européenne spectacle vivant",3393
300,110,UCL002,"Master en philosophie, à finalité approfondie",3393
301,110,UCL003,"Master en philosophie, à finalité didactique",3393
303,310,UCL005,Master en philosophie,3393
304,112,UCL006,"Master en éthique, à finalité spécialisées: éthique et politique publiques",3393
305,112,UCL007,"Master en éthique, à finalité spécialisées: sciences et techniques",3393
306,112,UCL008,"Master en éthique, à finalité spécialisées: éthique biomédicale et bioéthique",3393
307,112,UCL009,"Master en éthique, à finalité spécialisées: éthique, normes et sociétés",3393
308,113,UCL010,Bachelier en sciences des religions,3393
309,114,UCL011,"Master en sciences des religions, à finalité approfondie",3393
310,115,UCL012,Bachelier en sciences religieuses,3393
311,116,UCL013,"Master en théologie, à finalité approfondie",3393
312,116,UCL014,"Master en théologie, à finalité didactique",3393
313,117,UCL015,Master en théologie,3393
314,118,UCL016,"Master en études bibliques, à fianlité approfondie",3393
315,118,UCL017,"Master en études bibliques, à finalité didactique",3393
316,119,UCL018,"Bachelier en langues et lettres françaises et romanes, orientation générale",3393
317,120,UCL019,"Master en langues et lettres françaises et romanes, orientation générale, à finalité approfondie ",3393
318,120,UCL020,"Master en langues et lettres françaises et romanes, orientation générale, à finalité didactique ",3393
319,120,UCL021,"Master en langues et lettres françaises et romanes, orientation générale, à finalité spécialisée : sciences et métiers du livre ",3393
320,121,UCL022,"Master en langues et lettres françaises et romanes, orientation générale ",3393
321,122,UCL023,"Master en langues et lettres françaises et romanes, orientation français langue étrangère, à finalité approfondie",3393
322,122,UCL024,"Master en langues et lettres françaises et romanes, orientation français langue étrangère, à finalité spécialisée",3393
323,123,UCL025,"Bachelier en langues et lettres modernes, orientation générale",3393
324,124,UCL026,"Master en langues et lettres modernes, orientation générale, à finalité approfondie",3393
325,124,UCL027,"Master en langues et lettres modernes, orientation générale, à finalité didactique",3393
326,124,UCL028,"Master en langues et lettres modernes, orientation générale, à finalité spécialisée : langues des affaires",3393
327,124,UCL029,"Master en langues et lettres modernes, orientation générale, à finalité spécialisée : sciences et métiers du livre",3393
329,125,UCL031,"Master en langues et lettres modernes, orientation générale",3393
330,126,UCL032,"Bachelier en langues et lettres modernes, orientation germaniques",3393
331,127,UCL033,"Master en langues et lettres modernes, orientation germaniques, à finalité approfondie",3393
332,127,UCL034,"Master en langues et lettres modernes, orientation germaniques, à finalité didactique",3393
333,127,UCL035,"Master en langues et lettres modernes, orientation germaniques, à finalité spécialisée : langue des affaires",3393
334,128,UCL036,"Master en langues et lettres modernes, orientation germaniques",3393
335,129,UCL037,"Master en interprétation, à finalité spécialisée : interprétation de conférences",3393
336,130,UCL038,"Master en traduction, à finalité approfondie",3393
337,130,UCL039,"Master en traduction, à finalité didactique",3393
338,130,UCL040,"Master en traduction, à finalité spécialisée : terminologie et localisation",3393
339,130,UCL041,"Master en traduction, à finalité spécialisée : traduction et audiovisuel",3393
340,130,UCL042,"Master en traduction, à finalité spécialisée : affaires internationales et européennes",3393
342,131,UCL044,"Master en linguistique, à finalité spécialisée : traitement automatique du langage",3393
343,131,UCL045,"Master en linguistique, à finalité spécialisée :  Linguistics and its Applications for a Multilingual Society",3393
344,132,UCL046,"Bachelier en langues et lettres anciennes, orientation classiques",3393
345,133,UCL047,"Master en langues et lettres anciennes, orientation classiques , à finalité approfondie",3393
346,133,UCL048,"Master en langues et lettres anciennes, orientation classiques, à finalité didactique ",3393
347,133,UCL049,"Master en langues et lettres anciennes, orientation classiques, à finalité spécialisée : sciences et métiers du livre ",3393
348,134,UCL050,"Master en langues et lettres anciennes, orientation classiques ",3393
349,135,UCL051,"Bachelier en langues et lettres anciennes, orientation orientales",3393
350,136,UCL052,"Master en langues et lettres anciennes, orientation orientales, à finalité approfondie ",3393
351,136,UCL053,"Master en langues et lettres anciennes, orientation orientales, à finalité spécialisée : sciences et métiers du livre ",3393
352,136,UCL054,"Master en langues et lettres anciennes, orientation orientales : l'Europe et l'Orient ",3393
353,137,UCL055,"Master en langues et lettres anciennes, orientation orientales ",3393
354,138,UCL056,Bachelier en langues et lettres anciennes et modernes ,3393
355,139,UCL057,"Master en langues et lettres anciennes et modernes, à finalité approfondie ",3393
356,139,UCL058,"Master en langues et lettres anciennes et modernes, à finalité didactique ",3393
357,139,UCL059,"Master en langues et lettres anciennes et modernes, à finalité spécialisée : sciences et métiers du livre",3393
358,140,UCL060,Master en langues et lettres anciennes et modernes,3393
359,141,UCL061,Bachelier en histoire,3393
360,142,UCL062,"Master en histoire, à finalité approfondie",3393
361,142,UCL063,"Master en histoire, à finalité didactique",3393
362,142,UCL064,"Master en histoire, à finalité spécialisée : histoire et archives",3393
363,142,UCL065,"Master en histoire, à finalité spécialisée : communication de l'histoire",3393
364,143,UCL066,Master en histoire,3393
365,144,UCL067,"Bachelier en histoire de l'art et archéologie, orientation générale",3393
366,145,UCL068,"Master en histoire de l'art et archéologie, orientation générale, à finalité didactique",3393
367,145,UCL069,"Master en histoire de l'art et archéologie, orientation générale, à finalité spécialisée : iconologie et études des cultures visuelles",3393
368,145,UCL070,"Master en histoire de l'art et archéologie, orientation générale, à finalité spécialisée : théories, gestion et sciences de l'archéologie",3393
369,146,UCL071,"Master en histoire de l'art et archéologie, orientation générale",3393
370,147,UCL072,"Bachelier en histoire de l'art et archéologie, orientation musicologie",3393
371,148,UCL073,"Master en histoire de l'art et archéologie, orientation musicologie, à finalité spécialisée : art et musique",3393
372,148,UCL074,"Master en histoire de l'art et archéologie, orientation musicologie, à finalité spécialisée : animation, gestion et musique",3393
373,148,UCL075,"Master en histoire de l'art et archéologie, orientation musicologie, à finalité spécialisée : musique-musicologie",3393
374,148,UCL076,"Master en histoire de l'art et archéologie, orientation musicologie, à finalité spécialisée : interuniversitaire en musicologie historique et systématique",3393
375,149,UCL077,"Master en histoire de l'art et archéologie, orientation musicologie",3393
376,150,UCL078,Master de spécialisation en cultures visuelles,3393
377,151,UCL079,Bachelier en information et communication,3393
378,152,UCL080,Master en information et communication,3393
379,153,UCL081,"Master en journalisme, à finalité spécialisée : ""Ecole de journalisme de Louvain""",3393
380,153,UCL082,"Master en journalisme, à finalité approfondie",3393
381,311,UCL083,Master en journalisme,3393
382,154,UCL084,"Master en communication, à finalité approfondie",3393
383,154,UCL085,"Master en communication, à finalité spécialisée : gestion de la communication d'organisation et des relations publiques",3393
384,155,UCL086,"Master en communication, à finalité spécialisée : culture et communication",3393
388,157,UCL090,"Master en communication multilingue, à finalité spécialisée : langues des affaires",3393
389,158,UCL091,"Master en sciences et technologies de l'information et de la communication, à finalité spécialisée : Ingénierie et technologies de la connaissance",3393
390,159,UCL092,"Master en gestion des ressources humaines, à finalité spécialisée",3393
391,313,UCL093,Master en gestion des ressources humaines,3393
392,160,UCL094,Bachelier en sciences humaines et sociales,3393
393,161,UCL095,"Master en politique économique et sociale, à finalité spécialisée:Analyse et évaluation des politiques",3393
394,314,UCL096,Master en politique économique et sociale,3393
395,162,UCL097,"Bachelier en sciences politiques, orientation générale",3393
396,163,UCL098,"Master en sciences politiques, orientation générale, à finalité approfondie",3393
397,163,UCL099,"Master en sciences politiques, orientation générale, à finalité didactique",3393
398,163,UCL100,"Master en sciences politiques, orientation générale, à finalité spécialisée : innovations et transformations démocratiques",3393
399,163,UCL101,"Master en sciences politiques, orientation générale, à finalité spécialisée : politique belge et comparée ",3393
400,164,UCL102,"Master en sciences politiques, orientation générale, à finalité spécialisée ",3393
401,165,UCL103,"Master en sciences politiques, orientation générale",3393
402,166,UCL104,"Master en sciences politiques, orientation générale",3393
403,167,UCL105,"Master en sciences politiques, orientation relations internationales, à finalité spécialisée: Gouvernance globale et politique internationale",3393
405,168,UCL107,"Master en administration publique, à finalité spécialisée",3393
407,169,UCL109,"Master en administration publique, à finalité spécialisée",3393
408,315,UCL110,Master en administration publique,3393
409,170,UCL111,Bachelier en sociologie et anthropologie,3393
410,171,UCL112,Master en sociologie et anthropologie,3393
411,172,UCL113,"Master en sociologie, à finalité approfondie",3393
