"NS_FORM_ID","TE_INTITULE","NS_OBJ_FORET_ID","NS_OBJ_TYPDO_ID","NS_OBJ_DIPL_ID","NS_OBJ_CERTI_ID","NS_OBJ_AREPS_ID","NS_OBJ_COMA_ID","NS_OBJ_CYC_ID","NS_OBJ_CERT_ID"
115,Bachelier en commerce extérieur,3696,3419,6787,,,4702,3416,3398
116,Bachelier en comptabilité,3696,3419,6788,,,4702,3416,3398
117,Bachelier : conseiller en développement durable,3696,3419,6789,,,4702,3416,3398
118,Bachelier en coopération internationale,3696,3419,6790,,,4702,3416,3398
119,Bachelier en e-business,3696,3419,6791,,,4702,3416,3398
120,Bachelier en gestion hôtelière,3696,3419,6792,,,4702,3416,3398
121,Bachelier en immobilier,3696,3419,6793,,,4702,3416,3398
122,Bachelier en management de la logistique,3696,3419,6794,,,4702,3416,3398
123,Bachelier en management du tourisme et des loisirs,3696,3419,6795,,,4702,3416,3398
124,Bachelier en marketing,3696,3419,6796,,,4702,3416,3398
125,Bachelier en relations publiques,3696,3419,6797,,,4702,3416,3398
126,Bachelier en sciences administratives et gestion publique,3696,3419,6798,,,4702,3416,3398
127,Bachelier de spécialisation en administration des maisons de repos,3698,3419,6799,,,4702,3416,3398
128,Bachelier de spécialisation en management de la distribution,3698,3419,6800,,,4702,3416,3398
129,Bachelier de spécialisation en management hôtelier,3698,3419,6801,,,4702,3416,3398
130,Bachelier en gestion de l'entreprise,3696,3419,6802,,,4702,3416,3398
131,Master en sciences commerciales,3696,3419,6803,,,4702,3417,3399
132,Master en gestion de l'entreprise,3696,3419,6804,,,4702,3417,3399
133,Bachelier en gestion publique,3696,3419,6805,,,4702,3416,3398
135,Master en gestion publique,3696,3419,6807,,,4702,3417,3399
137,Master en gestion des services généraux,3696,3419,6809,,,4702,3417,3399
138,Master en sciences administratives,3696,3419,6810,,,4702,3417,3399
139,Bachelier : ingénieur commercial,3696,3419,6811,,,4702,3416,3398
140,Master : ingénieur commercial,3696,3419,6812,,,4702,3417,3399
141,Bachelier : ingénieur de gestion,3696,3419,6813,,,,3416,3398
142,Master : ingénieur de gestion,3696,3419,6814,,,,3417,3399
143,Bachelier en sciences économiques et de gestion,3696,3419,6815,,,,3416,3398
144,"Bachelier en sciences économiques, orientation générale",3696,3419,6816,,,,3416,3398
145,"Master en sciences économiques, orientation générale",3696,3419,6817,,,,3417,3399
146,"Master en sciences économiques, orientation économétrie",3696,3419,6818,,,,3417,3399
147,Bachelier en sciences de gestion,3696,3419,6819,,,,3416,3398
148,Master en sciences de gestion,3696,3419,6820,,,,3417,3399
149,Master en gestion culturelle,3696,3419,6821,,,,3417,3399
150,"Master de spécialisation en accompagnement des professionnels de l'éducation, du management, de la santé et de l'action sociale",3698,3419,6822,,,4702,3417,3399
151,Master de spécialisation en économie internationale et du développement / Specialized master in international and development economics,3698,3419,6823,,,,3417,3399
152,Master de spécialisation en entrepreneuriat,3698,3419,6824,,,,3417,3399
153,Master de spécialisation en gestion des risques financiers,3698,3419,6825,,,,3417,3399
154,Master de spécialisation en microfinance / Specialized master in microfinance,3698,3419,6826,,,,3417,3399
155,"Bachelier : agrégé de l'enseignement secondaire inférieur, orientation arts plastiques",3696,3419,6827,,,4705,3416,3398
156,"Bachelier : agrégé de l'enseignement secondaire inférieur, orientation éducation physique",3696,3419,6828,,,4705,3416,3398
157,"Bachelier : agrégé de l'enseignement secondaire inférieur, orientation français et français langue étrangère",3696,3419,6829,,,4705,3416,3398
158,"Bachelier : agrégé de l'enseignement secondaire inférieur, orientation français et morale",3696,3419,6830,,,4705,3416,3398
159,"Bachelier : agrégé de l'enseignement secondaire inférieur, orientation français et éducation à la philosophie et la citoyenneté",3696,3419,6831,,,4705,3416,3398
160,"Bachelier : agrégé de l'enseignement secondaire inférieur, orientation français et religion",3696,3419,6832,,,4705,3416,3398
161,"Bachelier : agrégé de l'enseignement secondaire inférieur, orientation langues germaniques",3696,3419,6833,,,4705,3416,3398
162,"Bachelier : agrégé de l'enseignement secondaire inférieur, orientation mathématiques",3696,3419,6834,,,4705,3416,3398
163,"Bachelier : agrégé de l'enseignement secondaire inférieur, orientation sciences : biologie, chimie, physique",3696,3419,6835,,,4705,3416,3398
164,"Bachelier : agrégé de l'enseignement secondaire inférieur, orientation sciences économiques et sciences économiques appliquées",3696,3419,6836,,,4705,3416,3398
165,"Bachelier : agrégé de l'enseignement secondaire inférieur, orientation sciences humaines : géographie, histoire, sciences sociales",3696,3419,6837,,,4705,3416,3398
166,"Bachelier : agrégé de l'enseignement secondaire inférieur, orientation bois - construction",3696,3419,6838,,,4705,3416,3398
167,"Bachelier : agrégé de l'enseignement secondaire inférieur, orientation économie familiale et sociale",3696,3419,6839,,,4705,3416,3398
168,"Bachelier : agrégé de l'enseignement secondaire inférieur, orientation électromécanique",3696,3419,6840,,,4705,3416,3398
169,"Bachelier : agrégé de l'enseignement secondaire inférieur, orientation habillement",3696,3419,6841,,,4705,3416,3398
170,Bachelier : assistant en psychologie,3696,3419,6842,,,4706,3416,3398
171,Bachelier en coaching sportif,3696,3419,6843,,,4705,3416,3398
172,Bachelier : éducateur spécialisé en activités socio-sportives,3696,3419,6844,,,4706,3416,3398
173,Bachelier : éducateur spécialisé en accompagnement psycho-éducatif,3696,3419,6845,,,4705,3416,3398
174,Bachelier : instituteur préscolaire,3696,3419,6846,,,4705,3416,3398
175,Bachelier : instituteur primaire,3696,3419,6847,,,4705,3416,3398
176,Bachelier en logopédie,3696,3419,6848,,,4704,3416,3398
177,Bachelier de spécialisation : accompagnateur en milieux scolaires,3696,3419,6849,,,4705,3416,3398
178,Bachelier de spécialisation en gérontologie psycho-éducative,3696,3419,6850,,,4705,3416,3398
179,Bachelier de spécialisation en intégration des technologies nouvelles au service de l'enseignement,3696,3419,6851,,,4705,3416,3398
180,Bachelier de spécialisation en orthopédagogie,3698,3419,6852,,,4705,3416,3398
181,Bachelier en orthoptie,3696,3419,6853,,,4704,3416,3398
182,Bachelier de spécialisation en préparation physique et entraînement,3698,3419,6854,,,4705,3416,3398
183,Bachelier de spécialisation en psychomotricité,3698,3419,6855,,,4705,3416,3398
184,Bachelier de spécialisation en éducation et rééducation des déficients sensoriels,3698,3419,6856,,,4704,3416,3398
185,"Bachelier en sciences psychologiques et de l'éducation, orientation générale",3696,3419,6857,,,,3416,3398
186,"Bachelier en sciences psychologiques et de l'éducation, orientation logopédie",3696,3419,6858,,,,3416,3398
187,Master en sciences de l'éducation,3696,3419,6859,,,,3417,3399
188,Master en logopédie,3696,3419,6860,,,,3417,3399
189,Master en sciences psychologiques,3696,3419,6861,,,,3417,3399
190,Master en sciences de la famille et de la sexualité,3696,3419,6862,,,,3417,3399
191,Master de spécialisation en cliniques psycho-thérapeutiques intégrées,3698,3419,6863,,,,3417,3399
192,Master de spécialisation en pédagogie universitaire et de l'enseignement supérieur,3698,3419,6864,,,,3417,3399
193,Master de spécialisation en théories psychanalytiques,3698,3419,6865,,,,3417,3399
194,Bachelier en médecine,3696,3419,6866,,,,3416,3398
195,Médecin,3696,3419,6867,,,,3417,3399
196,Master de spécialisation en anatomie pathologique,3698,3419,6868,,,,3417,3399
197,Master de spécialisation en anesthésie-réanimation,3698,3419,6869,,,,3417,3399
198,Master de spécialisation en biologie clinique,3698,3419,6870,,,,3417,3399
199,Master de spécialisation en cardiologie,3698,3419,6871,,,,3417,3399
200,Master de spécialisation en chirurgie,3698,3419,6872,,,,3417,3399
201,Master de spécialisation en chirurgie orthopédique,3698,3419,6873,,,,3417,3399
202,"Master de spécialisation en chirurgie plastique, reconstructrice et esthétique",3698,3419,6874,,,,3417,3399
203,Master de spécialisation en dermato-vénéréologie,3698,3419,6875,,,,3417,3399
204,Master de spécialisation en gastro-entérologie,3698,3419,6876,,,,3417,3399
205,Master de spécialisation en gériatrie,3698,3419,6877,,,,3417,3399
206,Master de spécialisation en gestion de données de santé,3698,3419,6878,,,,3417,3399
207,Master de spécialisation en gynécologie-obstétrique,3698,3419,6879,,,,3417,3399
208,Master de spécialisation en médecine aigüe,3698,3419,6880,,,,3417,3399
209,Master de spécialisation en médecine d'urgence,3698,3419,6881,,,,3417,3399
210,Master de spécialisation en médecine du travail,3698,3419,6882,,,,3417,3399
211,Master de spécialisation en médecine interne,3698,3419,6883,,,,3417,3399
212,Master de spécialisation en médecine générale,3698,3419,6884,,,,3417,3399
213,Master de spécialisation en médecine légale,3698,3419,6885,,,,3417,3399
214,Master de spécialisation en médecine nucléaire,3698,3419,6886,,,,3417,3399
215,Master de spécialisation en médecine physique et en réadaptation,3698,3419,6887,,,,3417,3399
216,Master de spécialisation en médecine transfusionnelle,3698,3419,6888,,,,3417,3399
217,Master de spécialisation en neurochirurgie,3698,3419,6889,,,,3417,3399
218,Master de spécialisation en neurologie,3698,3419,6890,,,,3417,3399
219,Master de spécialisation en neuropsychiatrie,3698,3419,6891,,,,3417,3399
220,Master de spécialisation en oncologie médicale,3698,3419,6892,,,,3417,3399
221,Master de spécialisation en ophtalmologie,3698,3419,6893,,,,3417,3399
222,Master de spécialisation en oto-rhino-laryngologie,3698,3419,6894,,,,3417,3399
223,Master de spécialisation en pédiatrie,3698,3419,6895,,,,3417,3399
224,Master de spécialisation en pneumologie,3698,3419,6896,,,,3417,3399
225,Master de spécialisation en psychiatrie,3698,3419,6897,,,,3417,3399
226,"Master de spécialisation en psychiatrie, orientation psychiatrie de l'adulte",3698,3419,6898,,,,3417,3399
227,"Master de spécialisation en psychiatrie, orientation psychiatrie infanto juvénile",3698,3419,6899,,,,3417,3399
227,"Master de spécialisation en psychiatrie, orientation psychiatrie infanto juvénile",3698,3419,,,,,3417,3399
228,Master de spécialisation en radiodiagnostic,3698,3419,6900,,,,3417,3399
229,Master de spécialisation en radiothérapie-oncologie,3698,3419,6901,,,,3417,3399
230,Master de spécialisation en rhumatologie,3698,3419,6902,,,,3417,3399
231,Master de spécialisation en stomatologie,3698,3419,6903,,,,3417,3399
231,Master de spécialisation en stomatologie,3698,3419,,,,,3417,3399
232,Master de spécialisation en urologie,3698,3419,6904,,,,3417,3399
233,Bachelier en médecine vétérinaire,3696,3419,6905,,,,3416,3398
234,Médecin vétérinaire ,3696,3419,6906,,,,3417,3399
235,Master de spécialisation en médecine vétérinaire spécialisée,3698,3419,6907,,,,3417,3399
236,Master de spécialisation en sciences vétérinaires : internat clinique,3698,3419,6908,,,,3417,3399
237,Master de spécialisation en gestion intégrée des risques sanitaires dans les pays du sud,3698,3419,6909,,,,3417,3399
238,Master de spécialisation en gestion des ressources animales et végétales en milieux tropicaux,3698,3419,6910,,,,3417,3399
239,Bachelier en sciences dentaires,3696,3419,6911,,,,3416,3398
240,Master en sciences dentaires,3696,3419,6912,,,,3417,3399
241,Master de spécialisation en dentisterie générale,3698,3419,6913,,,,3417,3399
242,Master de spécialisation en orthodontie,3698,3419,6914,,,,3417,3399
243,Master de spécialisation en parodontologie,3698,3419,6915,,,,3417,3399
244,Bachelier en diététique,3696,3419,6916,,,4704,3416,3398
245,Bachelier : technologue de laboratoire médical,3696,3419,6917,,,4704,3416,3398
246,Bachelier de spécialisation en biotechnologies médicales et pharmaceutiques,3698,3419,6918,,,4704,3416,3398
247,Bachelier de spécialisation en diététique sportive,3698,3419,6919,,,4704,3416,3398
248,Bachelier en sciences biomédicales,3696,3419,6920,,,,3416,3398
249,Master en sciences biomédicales,3696,3419,6921,,,,3417,3399
250,Bachelier en sciences pharmaceutiques,3696,3419,6922,,,,3416,3398
251,Master en sciences pharmaceutiques,3696,3419,6923,,,,3417,3399
253,Master de spécialisation en dermopharmacie et cosmétologie,3698,3419,6924,,,,3417,3399
254,Master de spécialisation en pharmacie d'industrie,3698,3419,6925,,,,3417,3399
255,Master de spécialisation en pharmacie hospitalière,3698,3419,6926,,,,3417,3399
256,Bachelier en audiologie,3696,3419,6927,,,4704,3416,3398
257,Bachelier en bandagisterie - orthésiologie - prothésiologie,3696,3419,6928,,,4704,3416,3398
258,Bachelier en soins infirmiers,3696,3419,6929,,,4704,3416,3398
259,Bachelier : infirmier responsable de soins généraux,3696,3419,6930,,,4704,3416,3398
260,Bachelier : sage-femme,3696,3419,6931,,,4704,3416,3398
261,Bachelier : technologue en imagerie médicale,3696,3419,6932,,,4704,3416,3398
262,Bachelier de spécialisation en anesthésie,3698,3419,6933,,,4704,3416,3398
263,Bachelier de spécialisation en art thérapie,3698,3419,6934,,,4704,3416,3398
264,Bachelier de spécialisation en imagerie médicale et radiothérapie,3698,3419,6935,,,4704,3416,3398
265,Bachelier de spécialisation en imagerie médicale diagnostique et interventionnelle,3698,3419,6936,,,4704,3416,3398
266,Bachelier de spécialisation en oncologie,3698,3419,6937,,,4704,3416,3398
267,Bachelier de spécialisation en pédiatrie et néonatologie,3698,3419,6938,,,4704,3416,3398
268,Bachelier de spécialisation en soins péri-opératoires,3698,3419,6939,,,4704,3416,3398
269,Bachelier de spécialisation en santé communautaire,3698,3419,6940,,,4704,3416,3398
270,Bachelier de spécialisation en santé mentale et psychiatrie,3698,3419,6941,,,4704,3416,3398
271,Bachelier de spécialisation en soins intensifs et aide médicale urgente,3698,3419,6942,,,4704,3416,3398
272,Bachelier de spécialisation interdisciplinaire en gériatrie et psychogériatrie,3698,3419,6943,,,4704,3416,3398
273,Bachelier de spécialisation interdisciplinaire en radiothérapie,3698,3419,6944,,,4704,3416,3398
274,Master en sciences de la santé publique,3696,3419,6945,,,,3417,3399
275,Master de spécialisation en sciences de la santé publique - Méthodes de recherche appliquées à la santé globale,3698,3419,6946,,,,3417,3399
276,Master de spécialisation en méthodologie de la santé publique - Specialized master in public health methodology,3698,3419,6947,,,,3417,3399
277,Bachelier en ergothérapie,3696,3419,6948,,,4704,3416,3398
278,Bachelier en podologie-podothérapie,3696,3419,6949,,,4704,3416,3398
279,Bachelier en psychomotricité,3696,3419,6950,,,4704,3416,3398
280,Bachelier de spécialisation en réadaptation,3698,3419,6951,,,,3416,3398
281,Bachelier en kinésithérapie,3696,3419,6952,,,4704,3416,3398
282,Master en kinésithérapie,3696,3419,6953,,,4704,3417,3399
283,"Bachelier en sciences de la motricité, orientation générale",3696,3419,6954,,,,3416,3398
284,"Master en sciences de la motricité, orientation générale",3696,3419,6955,,,,3417,3399
285,"Master en sciences de la motricité, orientation éducation physique",3696,3419,6956,,,,3417,3399
286,Bachelier en kinésithérapie et réadaptation,3696,3419,6957,,,,3416,3398
287,Master en kinésithérapie et réadaptation,3696,3419,6958,,,,3417,3399
288,Master de spécialisation en ostéopathie,3698,3419,6959,,,,3417,3399
289,Bachelier en informatique de gestion,3696,3419,6960,,,4703,3416,3398
290,"Bachelier en informatique et systèmes, orientation automatique",3696,3419,6961,,,4707,3416,3398
291,"Bachelier en informatique et systèmes, orientation informatique industrielle",3696,3419,6962,,,4703,3416,3398
292,"Bachelier en informatique et systèmes, orientation gestion technique des bâtiments - domotique",3696,3419,6963,,,4707,3416,3398
293,"Bachelier en informatique et systèmes, orientation réseaux et télécommunications",3696,3419,6964,,,4703,3416,3398
294,"Bachelier en informatique et systèmes, orientation  sécurité des systèmes",3696,3419,6965,,,4703,3416,3398
295,"Bachelier en informatique et systèmes, orientation technologie de l'informatique",3696,3419,6966,,,4703,3416,3398
296,Master en gestion globale du numérique,3696,3419,6967,,,4703,3417,3399
297,Bachelier de spécialisation en sécurité des réseaux et systèmes informatiques,3698,3419,6968,,,4703,3416,3398
298,Bachelier en sciences biologiques,3696,3419,6969,,,,3416,3398
299,Master en sciences biologiques,3696,3419,6970,,,,3417,3399
300,Master en biochimie et biologie moléculaire et cellulaire,3696,3419,6971,,,,3417,3399
301,Master en biologie des organismes et écologie,3696,3419,6972,,,,3417,3399
302,Master en bioinformatique et modélisation,3696,3419,6973,,,,3417,3399
303,Bachelier en sciences chimiques,3696,3419,6974,,,,3416,3398
304,Master en sciences chimiques,3696,3419,6975,,,,3417,3399
305,Master en science des données,3696,3419,6976,,,,3417,3399
306,"Master en science des données, orientation statistique",3696,3419,6977,,,,3417,3399
307,"Master en science des données, orientation technologies de l'information",3696,3419,6978,,,,3417,3399
308,Bachelier en sciences géologiques,3696,3419,6979,,,,3416,3398
309,Master en sciences géologiques,3696,3419,6980,,,,3417,3399
310,"Bachelier en sciences géographiques, orientation générale",3696,3419,6981,,,,3416,3398
311,"Master en sciences géographiques, orientation climatologie",3696,3419,6982,,,,3417,3399
312,"Master en sciences géographiques, orientation générale",3696,3419,6983,,,,3417,3399
313,"Master en sciences géographiques, orientation géomatique et géométrologie",3696,3419,6984,,,,3417,3399
314,Master en océanographie,3696,3419,6985,,,,3417,3399
315,Master en sciences et gestion de l'environnement,3696,3419,6986,,,,3417,3399
316,Master en sciences et gestion du tourisme,3696,3419,6987,,,,3417,3399
317,Master en smart rurality,3696,3419,6988,,,,3417,3399
318,Bachelier en sciences informatiques,3696,3419,6989,,,,3416,3398
319,Master en sciences informatiques,3696,3419,6990,,,4703,3417,3399
320,Master en architecture des systèmes informatiques,3696,3419,6991,,,4703,3417,3399
321,Master en cybersécurité,3696,3419,6992,,,4703,3417,3399
322,Bachelier en sciences mathématiques,3696,3419,6993,,,,3416,3398
323,Master en sciences mathématiques,3696,3419,6994,,,,3417,3399
324,"Master en statistique, orientation générale",3696,3419,6995,,,,3417,3399
325,"Master en statistique, orientation biostatistiques",3696,3419,6996,,,,3417,3399
326,Master en sciences actuarielles,3696,3419,6997,,,,3417,3399
327,Bachelier en sciences physiques,3696,3419,6998,,,,3416,3398
328,Master en sciences physiques,3696,3419,6999,,,,3417,3399
329,Master en sciences spatiales,3696,3419,7000,,,,3417,3399
330,Master de spécialisation en archéométrie,3698,3419,7001,,,,3417,3399
331,Master de spécialisation en gestion des ressources aquatiques et aquaculture,3698,3419,7002,,,,3417,3399
332,Master de spécialisation en biotechnologie et biologie appliquée,3698,3419,7003,,,,3417,3399
333,"Master de spécialisation en climatologie, glaciologie et océanographie",3698,3419,7004,,,,3417,3399
334,Master de spécialisation en génomique,3698,3419,7005,,,,3417,3399
335,Master de spécialisation en gestion durable de l'énergie,3698,3419,7006,,,,3417,3399
336,Master de spécialisation en informatique et innovation,3698,3419,7007,,,,3417,3399
337,"Bachelier en agronomie, orientation agro-industries et biotechnologies",3696,3419,7008,,,4700,3416,3398
338,"Bachelier en agronomie, orientation agronomie des régions chaudes",3696,3419,7009,,,4700,3416,3398
339,"Bachelier en agronomie, orientation environnement",3696,3419,7010,,,4700,3416,3398
340,"Bachelier en agronomie, orientation forêt et nature",3696,3419,7011,,,4700,3416,3398
341,"Bachelier en agronomie, orientation techniques et gestion agricoles",3696,3419,7012,,,4700,3416,3398
342,"Bachelier en agronomie, orientation techniques et gestion horticoles",3696,3419,7013,,,4700,3416,3398
343,"Bachelier en agronomie, orientation technologie animalière",3696,3419,7014,,,4700,3416,3398
344,Bachelier en architecture des jardins et du paysage,3696,3419,7015,,,4700,3416,3398
