"ROWNUMBER","CPMS_NS_ETAB_ID","CPMS_NOM","CPMS_RUE","CPMS_NUMERO","CPMS_CODEPOSTAL","CPMS_LOCALITE","CPMS_TELEPHONE","CPMS_FAX","CPMS_EMAIL","NS_ETAB_ID","TE_NOM_ETAB"
25,4823,Centre PMS communal de Bruxelles 1,Rue Melsens,"38","1000",BRUXELLES,"02-279 63 00","02-279 63 09",ec004823@adm.cfwb.be,3183,Ecole maternelle de la Marolle
26,4823,Centre PMS communal de Bruxelles 1,Rue Melsens,"38","1000",BRUXELLES,"02-279 63 00","02-279 63 09",ec004823@adm.cfwb.be,5016,Ecole primaire Robert Catteau
27,4823,Centre PMS communal de Bruxelles 1,Rue Melsens,"38","1000",BRUXELLES,"02-279 63 00","02-279 63 09",ec004823@adm.cfwb.be,5411,Ecole maternelle Catteau - Horta
28,4824,Centre PMS communal de Bruxelles 3,Quai aux Barques,"6","1000",BRUXELLES,"02-210 18 10","02-210 18 28",ec004824@adm.cfwb.be,76,Ecole maternelle de l'Eclusier Cogge
29,4824,Centre PMS communal de Bruxelles 3,Quai aux Barques,"6","1000",BRUXELLES,"02-210 18 10","02-210 18 28",ec004824@adm.cfwb.be,82,Ecole maternelle du Jardin aux Fleurs
30,4824,Centre PMS communal de Bruxelles 3,Quai aux Barques,"6","1000",BRUXELLES,"02-210 18 10","02-210 18 28",ec004824@adm.cfwb.be,88,Ecole primaire de l'Allée Verte
31,4824,Centre PMS communal de Bruxelles 3,Quai aux Barques,"6","1000",BRUXELLES,"02-210 18 10","02-210 18 28",ec004824@adm.cfwb.be,90,Ecole fondamentale de l'Héliport
32,4824,Centre PMS communal de Bruxelles 3,Quai aux Barques,"6","1000",BRUXELLES,"02-210 18 10","02-210 18 28",ec004824@adm.cfwb.be,93,Ecole fondamentale du Canal
33,4824,Centre PMS communal de Bruxelles 3,Quai aux Barques,"6","1000",BRUXELLES,"02-210 18 10","02-210 18 28",ec004824@adm.cfwb.be,95,Ecole primaire Léon Lepage
34,4824,Centre PMS communal de Bruxelles 3,Quai aux Barques,"6","1000",BRUXELLES,"02-210 18 10","02-210 18 28",ec004824@adm.cfwb.be,102,Ecole fondamentale Congrès-Dachsbeck
35,4824,Centre PMS communal de Bruxelles 3,Quai aux Barques,"6","1000",BRUXELLES,"02-210 18 10","02-210 18 28",ec004824@adm.cfwb.be,107,Ecole primaire des Six-Jetons
36,4824,Centre PMS communal de Bruxelles 3,Quai aux Barques,"6","1000",BRUXELLES,"02-210 18 10","02-210 18 28",ec004824@adm.cfwb.be,127,ATHENEE LEON LEPAGE
37,4824,Centre PMS communal de Bruxelles 3,Quai aux Barques,"6","1000",BRUXELLES,"02-210 18 10","02-210 18 28",ec004824@adm.cfwb.be,145,INSTITUT BISCHOFFSHEIM
38,4824,Centre PMS communal de Bruxelles 3,Quai aux Barques,"6","1000",BRUXELLES,"02-210 18 10","02-210 18 28",ec004824@adm.cfwb.be,152,INSTITUT DES ARTS ET METIERS
39,4824,Centre PMS communal de Bruxelles 3,Quai aux Barques,"6","1000",BRUXELLES,"02-210 18 10","02-210 18 28",ec004824@adm.cfwb.be,179,ACADEMIE ROYALE DES BEAUX-ARTS DE BRUXELLES
40,4824,Centre PMS communal de Bruxelles 3,Quai aux Barques,"6","1000",BRUXELLES,"02-210 18 10","02-210 18 28",ec004824@adm.cfwb.be,3152,INSTITUT DE MOT-COUVREUR
41,4824,Centre PMS communal de Bruxelles 3,Quai aux Barques,"6","1000",BRUXELLES,"02-210 18 10","02-210 18 28",ec004824@adm.cfwb.be,5134,Ecole maternelle Christian Merveille
42,4824,Centre PMS communal de Bruxelles 3,Quai aux Barques,"6","1000",BRUXELLES,"02-210 18 10","02-210 18 28",ec004824@adm.cfwb.be,5411,Ecole maternelle Catteau - Horta
43,4824,Centre PMS communal de Bruxelles 3,Quai aux Barques,"6","1000",BRUXELLES,"02-210 18 10","02-210 18 28",ec004824@adm.cfwb.be,5413,CEFA - Bruxelles-Ville
44,4825,Centre PMS communal de Bruxelles 2,Rue Melsens,"38","1000",BRUXELLES,"02-279 63 20","02-279 63 29",ec004825@adm.cfwb.be,79,Ecole maternelle Reine Astrid
45,4825,Centre PMS communal de Bruxelles 2,Rue Melsens,"38","1000",BRUXELLES,"02-279 63 20","02-279 63 29",ec004825@adm.cfwb.be,83,Ecole maternelle Léopold 1er
46,4825,Centre PMS communal de Bruxelles 2,Rue Melsens,"38","1000",BRUXELLES,"02-279 63 20","02-279 63 29",ec004825@adm.cfwb.be,84,Ecole maternelle Emile Bockstael
47,4825,Centre PMS communal de Bruxelles 2,Rue Melsens,"38","1000",BRUXELLES,"02-279 63 20","02-279 63 29",ec004825@adm.cfwb.be,85,Ecole maternelle des Magnolias
48,4825,Centre PMS communal de Bruxelles 2,Rue Melsens,"38","1000",BRUXELLES,"02-279 63 20","02-279 63 29",ec004825@adm.cfwb.be,86,Ecole Primaire Reine Astrid
49,4825,Centre PMS communal de Bruxelles 2,Rue Melsens,"38","1000",BRUXELLES,"02-279 63 20","02-279 63 29",ec004825@adm.cfwb.be,87,Ecole primaire Emile Bockstael
50,4825,Centre PMS communal de Bruxelles 2,Rue Melsens,"38","1000",BRUXELLES,"02-279 63 20","02-279 63 29",ec004825@adm.cfwb.be,92,Ecole primaire Steyls
51,4825,Centre PMS communal de Bruxelles 2,Rue Melsens,"38","1000",BRUXELLES,"02-279 63 20","02-279 63 29",ec004825@adm.cfwb.be,97,Ecole primaire des Magnolias
52,4825,Centre PMS communal de Bruxelles 2,Rue Melsens,"38","1000",BRUXELLES,"02-279 63 20","02-279 63 29",ec004825@adm.cfwb.be,98,Ecole fondamentale du Tivoli
53,4825,Centre PMS communal de Bruxelles 2,Rue Melsens,"38","1000",BRUXELLES,"02-279 63 20","02-279 63 29",ec004825@adm.cfwb.be,129,ATHENEE EMILE BOCKSTAEL
54,4825,Centre PMS communal de Bruxelles 2,Rue Melsens,"38","1000",BRUXELLES,"02-279 63 20","02-279 63 29",ec004825@adm.cfwb.be,143,INSTITUT PAUL-HENRI SPAAK
55,4825,Centre PMS communal de Bruxelles 2,Rue Melsens,"38","1000",BRUXELLES,"02-279 63 20","02-279 63 29",ec004825@adm.cfwb.be,95314,ATHENEE MARGUERITE YOURCENAR
56,4826,Centre PMS communal de Bruxelles 5 (ens. spécialisé),Rue Philippe de Champagne,"52","1000",BRUXELLES,"02-548 05 30","02-548 05 38",ec004826@adm.cfwb.be,175,Centre pédagogique de Vlaesendael
57,4826,Centre PMS communal de Bruxelles 5 (ens. spécialisé),Rue Philippe de Champagne,"52","1000",BRUXELLES,"02-548 05 30","02-548 05 38",ec004826@adm.cfwb.be,176,Centre pédagogique du Parc Astrid
58,4826,Centre PMS communal de Bruxelles 5 (ens. spécialisé),Rue Philippe de Champagne,"52","1000",BRUXELLES,"02-548 05 30","02-548 05 38",ec004826@adm.cfwb.be,177,Centre pédagogique Jules Anspach
59,4826,Centre PMS communal de Bruxelles 5 (ens. spécialisé),Rue Philippe de Champagne,"52","1000",BRUXELLES,"02-548 05 30","02-548 05 38",ec004826@adm.cfwb.be,178,Centre pédagogique des Pagodes
60,4826,Centre PMS communal de Bruxelles 5 (ens. spécialisé),Rue Philippe de Champagne,"52","1000",BRUXELLES,"02-548 05 30","02-548 05 38",ec004826@adm.cfwb.be,195,Ecole Robert Dubois
61,4827,Centre PMS libre de Bruxelles 1,Rue de Dinant,"39","1000",BRUXELLES,"02-512 98 36","02-413.20.08",ec004827@adm.cfwb.be,108,Ecole fondamentale libre Notre-Dame de Laeken
62,4827,Centre PMS libre de Bruxelles 1,Rue de Dinant,"39","1000",BRUXELLES,"02-512 98 36","02-413.20.08",ec004827@adm.cfwb.be,112,Ecole primaire libre Sainte-Ursule
63,4827,Centre PMS libre de Bruxelles 1,Rue de Dinant,"39","1000",BRUXELLES,"02-512 98 36","02-413.20.08",ec004827@adm.cfwb.be,112,Ecole primaire libre Sainte-Ursule
64,4827,Centre PMS libre de Bruxelles 1,Rue de Dinant,"39","1000",BRUXELLES,"02-512 98 36","02-413.20.08",ec004827@adm.cfwb.be,138,COLLEGE LA FRATERNITE
65,4827,Centre PMS libre de Bruxelles 1,Rue de Dinant,"39","1000",BRUXELLES,"02-512 98 36","02-413.20.08",ec004827@adm.cfwb.be,185,INSTITUT NOTRE-DAME DE LOURDES
66,4827,Centre PMS libre de Bruxelles 1,Rue de Dinant,"39","1000",BRUXELLES,"02-512 98 36","02-413.20.08",ec004827@adm.cfwb.be,260,Ecole primaire libre - Collège du Sacré-Coeur
67,4827,Centre PMS libre de Bruxelles 1,Rue de Dinant,"39","1000",BRUXELLES,"02-512 98 36","02-413.20.08",ec004827@adm.cfwb.be,261,COLLEGE DU SACRE-COEUR
68,4827,Centre PMS libre de Bruxelles 1,Rue de Dinant,"39","1000",BRUXELLES,"02-512 98 36","02-413.20.08",ec004827@adm.cfwb.be,312,Ecole primaire libre Saint-Michel Cycle 8-12
69,4827,Centre PMS libre de Bruxelles 1,Rue de Dinant,"39","1000",BRUXELLES,"02-512 98 36","02-413.20.08",ec004827@adm.cfwb.be,314,Ecole primaire libre Notre-Dame de Lourdes
70,4827,Centre PMS libre de Bruxelles 1,Rue de Dinant,"39","1000",BRUXELLES,"02-512 98 36","02-413.20.08",ec004827@adm.cfwb.be,325,Ecole fondamentale libre Institut des Ursulines
71,4827,Centre PMS libre de Bruxelles 1,Rue de Dinant,"39","1000",BRUXELLES,"02-512 98 36","02-413.20.08",ec004827@adm.cfwb.be,327,INSTITUT DES URSULINES
72,4827,Centre PMS libre de Bruxelles 1,Rue de Dinant,"39","1000",BRUXELLES,"02-512 98 36","02-413.20.08",ec004827@adm.cfwb.be,5927,"Ecole fondamentale libre Saint-Michel I - Cycle 2,5-8"
73,4827,Centre PMS libre de Bruxelles 1,Rue de Dinant,"39","1000",BRUXELLES,"02-512 98 36","02-413.20.08",ec004827@adm.cfwb.be,95348,Ecole fondamentale libre Notre-Dame de Lourdes
74,4828,Centre PMS libre de Bruxelles 2,Rue de Dinant,"39","1000",BRUXELLES,"02-512 87 17","02/511 11 61",ec004828@adm.cfwb.be,110,Ecole fondamentale libre Regina Pacis
75,4828,Centre PMS libre de Bruxelles 2,Rue de Dinant,"39","1000",BRUXELLES,"02-512 87 17","02/511 11 61",ec004828@adm.cfwb.be,113,Institut Maris Stella - Saint-Lambert - Enseign. fondamental
76,4828,Centre PMS libre de Bruxelles 2,Rue de Dinant,"39","1000",BRUXELLES,"02-512 87 17","02/511 11 61",ec004828@adm.cfwb.be,121,Ecole primaire libre - Institut du Christ-Roi
77,4828,Centre PMS libre de Bruxelles 2,Rue de Dinant,"39","1000",BRUXELLES,"02-512 87 17","02/511 11 61",ec004828@adm.cfwb.be,185,INSTITUT NOTRE-DAME DE LOURDES
78,4828,Centre PMS libre de Bruxelles 2,Rue de Dinant,"39","1000",BRUXELLES,"02-512 87 17","02/511 11 61",ec004828@adm.cfwb.be,315,Ecole primaire libre - Collège Saint-Pierre
79,4828,Centre PMS libre de Bruxelles 2,Rue de Dinant,"39","1000",BRUXELLES,"02-512 87 17","02/511 11 61",ec004828@adm.cfwb.be,319,COLLEGE SAINT-PIERRE
80,4828,Centre PMS libre de Bruxelles 2,Rue de Dinant,"39","1000",BRUXELLES,"02-512 87 17","02/511 11 61",ec004828@adm.cfwb.be,340,Campus-Saint-Jean 2
81,4828,Centre PMS libre de Bruxelles 2,Rue de Dinant,"39","1000",BRUXELLES,"02-512 87 17","02/511 11 61",ec004828@adm.cfwb.be,341,Ecole fondamentale Saint-Joseph - Saint-Rémy
82,4828,Centre PMS libre de Bruxelles 2,Rue de Dinant,"39","1000",BRUXELLES,"02-512 87 17","02/511 11 61",ec004828@adm.cfwb.be,344,Ecole primaire libre Saint-Charles
83,4828,Centre PMS libre de Bruxelles 2,Rue de Dinant,"39","1000",BRUXELLES,"02-512 87 17","02/511 11 61",ec004828@adm.cfwb.be,345,Ecole maternelle libre Saint-Charles
84,4828,Centre PMS libre de Bruxelles 2,Rue de Dinant,"39","1000",BRUXELLES,"02-512 87 17","02/511 11 61",ec004828@adm.cfwb.be,346,Ecole primaire libre Sainte-Ursule
85,4828,Centre PMS libre de Bruxelles 2,Rue de Dinant,"39","1000",BRUXELLES,"02-512 87 17","02/511 11 61",ec004828@adm.cfwb.be,352,Campus Saint-Jean
86,4828,Centre PMS libre de Bruxelles 2,Rue de Dinant,"39","1000",BRUXELLES,"02-512 87 17","02/511 11 61",ec004828@adm.cfwb.be,95586,Campus-Saint-Jean 1
87,4830,Centre PMS de la Cocof 1,Rue du Meiboom,"14","1000",BRUXELLES,"02-800 86 60","02-800 86 62",ec004830@adm.cfwb.be,55,Centre scolaire du Souverain
88,4830,Centre PMS de la Cocof 1,Rue du Meiboom,"14","1000",BRUXELLES,"02-800 86 60","02-800 86 62",ec004830@adm.cfwb.be,56,Centre scolaire du Blankedelle
89,4830,Centre PMS de la Cocof 1,Rue du Meiboom,"14","1000",BRUXELLES,"02-800 86 60","02-800 86 62",ec004830@adm.cfwb.be,57,Centre scolaire du Pré des Agneaux
90,4830,Centre PMS de la Cocof 1,Rue du Meiboom,"14","1000",BRUXELLES,"02-800 86 60","02-800 86 62",ec004830@adm.cfwb.be,69,Ecole fondamentale libre L'Autre Ecole
91,4830,Centre PMS de la Cocof 1,Rue du Meiboom,"14","1000",BRUXELLES,"02-800 86 60","02-800 86 62",ec004830@adm.cfwb.be,70,"Ecole maternelle communale  ""Sept Etoiles"""
92,4830,Centre PMS de la Cocof 1,Rue du Meiboom,"14","1000",BRUXELLES,"02-800 86 60","02-800 86 62",ec004830@adm.cfwb.be,71,Ecole communale primaire 'Les Glycines'
93,4830,Centre PMS de la Cocof 1,Rue du Meiboom,"14","1000",BRUXELLES,"02-800 86 60","02-800 86 62",ec004830@adm.cfwb.be,173,Charles Gheude Ens. secondaire spécialisé professionnel
94,4830,Centre PMS de la Cocof 1,Rue du Meiboom,"14","1000",BRUXELLES,"02-800 86 60","02-800 86 62",ec004830@adm.cfwb.be,323,Ecole communale Armand Swartenbroeks
95,4830,Centre PMS de la Cocof 1,Rue du Meiboom,"14","1000",BRUXELLES,"02-800 86 60","02-800 86 62",ec004830@adm.cfwb.be,324,Ecole fondamentale communale Oscar Bossaert
96,4830,Centre PMS de la Cocof 1,Rue du Meiboom,"14","1000",BRUXELLES,"02-800 86 60","02-800 86 62",ec004830@adm.cfwb.be,485,Jardins d'Enfants communaux Colibri - Naïades - Aigrettes
97,4830,Centre PMS de la Cocof 1,Rue du Meiboom,"14","1000",BRUXELLES,"02-800 86 60","02-800 86 62",ec004830@adm.cfwb.be,486,Ecole communale La Sapinière - Les Mésanges
98,4830,Centre PMS de la Cocof 1,Rue du Meiboom,"14","1000",BRUXELLES,"02-800 86 60","02-800 86 62",ec004830@adm.cfwb.be,487,Ecole communale Les Cèdres
99,4830,Centre PMS de la Cocof 1,Rue du Meiboom,"14","1000",BRUXELLES,"02-800 86 60","02-800 86 62",ec004830@adm.cfwb.be,488,Ecole fondamentale La Futaie - Les Coccinelles
100,4830,Centre PMS de la Cocof 1,Rue du Meiboom,"14","1000",BRUXELLES,"02-800 86 60","02-800 86 62",ec004830@adm.cfwb.be,489,Ecole communale Le Karrenberg - Nos Petits
101,4830,Centre PMS de la Cocof 1,Rue du Meiboom,"14","1000",BRUXELLES,"02-800 86 60","02-800 86 62",ec004830@adm.cfwb.be,5521,Centre scolaire communal Les Marronniers
102,4830,Centre PMS de la Cocof 1,Rue du Meiboom,"14","1000",BRUXELLES,"02-800 86 60","02-800 86 62",ec004830@adm.cfwb.be,95386,Ecole maternelle communale Openveld
103,4830,Centre PMS de la Cocof 1,Rue du Meiboom,"14","1000",BRUXELLES,"02-800 86 60","02-800 86 62",ec004830@adm.cfwb.be,95430,Ecole communale primaire 'Les Lilas'
104,4830,Centre PMS de la Cocof 1,Rue du Meiboom,"14","1000",BRUXELLES,"02-800 86 60","02-800 86 62",ec004830@adm.cfwb.be,95521,Institut El Hikma La Sagesse
105,4830,Centre PMS de la Cocof 1,Rue du Meiboom,"14","1000",BRUXELLES,"02-800 86 60","02-800 86 62",ec004830@adm.cfwb.be,95579,Institut El Hikma - La Sagesse
106,4833,Centre PMS de la Cocof 2,Rue du Meiboom,"14","1000",BRUXELLES,"02-800 86 77","02-800 86 82",ec004833@adm.cfwb.be,331,Ecole fondamentale communale n°1 La Rose des Vents
107,4833,Centre PMS de la Cocof 2,Rue du Meiboom,"14","1000",BRUXELLES,"02-800 86 77","02-800 86 82",ec004833@adm.cfwb.be,332,Ecole fondamentale communale n°2 Emeraude
108,4833,Centre PMS de la Cocof 2,Rue du Meiboom,"14","1000",BRUXELLES,"02-800 86 77","02-800 86 82",ec004833@adm.cfwb.be,333,Ecole primaire communale n°9 Augusta Marcoux
109,4833,Centre PMS de la Cocof 2,Rue du Meiboom,"14","1000",BRUXELLES,"02-800 86 77","02-800 86 82",ec004833@adm.cfwb.be,334,Ecole fondamentale communale n°7 - Arc-en-Ciel
110,4833,Centre PMS de la Cocof 2,Rue du Meiboom,"14","1000",BRUXELLES,"02-800 86 77","02-800 86 82",ec004833@adm.cfwb.be,335,Ecole communale n°13 - Ecole qui bouge
111,4833,Centre PMS de la Cocof 2,Rue du Meiboom,"14","1000",BRUXELLES,"02-800 86 77","02-800 86 82",ec004833@adm.cfwb.be,336,Ecole fondamentale communale n°5 - Ecole Chouette
112,4833,Centre PMS de la Cocof 2,Rue du Meiboom,"14","1000",BRUXELLES,"02-800 86 77","02-800 86 82",ec004833@adm.cfwb.be,337,Ecole primaire n°11 - Aux Sources du Gai Savoir
113,4833,Centre PMS de la Cocof 2,Rue du Meiboom,"14","1000",BRUXELLES,"02-800 86 77","02-800 86 82",ec004833@adm.cfwb.be,338,Ecole communale n°10 - La Cité des enfants
114,4833,Centre PMS de la Cocof 2,Rue du Meiboom,"14","1000",BRUXELLES,"02-800 86 77","02-800 86 82",ec004833@adm.cfwb.be,339,Ecole primaire communale n°16 - L'Ecole du Petit Bois
115,4833,Centre PMS de la Cocof 2,Rue du Meiboom,"14","1000",BRUXELLES,"02-800 86 77","02-800 86 82",ec004833@adm.cfwb.be,354,Ecole Nicolas Smelten
116,4833,Centre PMS de la Cocof 2,Rue du Meiboom,"14","1000",BRUXELLES,"02-800 86 77","02-800 86 82",ec004833@adm.cfwb.be,2438,ECOLE COMMUNALE FRANCOPHONE SECTIONS MATERNELLE ET PRIMAIRE
117,4833,Centre PMS de la Cocof 2,Rue du Meiboom,"14","1000",BRUXELLES,"02-800 86 77","02-800 86 82",ec004833@adm.cfwb.be,2445,ECOLE COMMUNALE
118,4833,Centre PMS de la Cocof 2,Rue du Meiboom,"14","1000",BRUXELLES,"02-800 86 77","02-800 86 82",ec004833@adm.cfwb.be,5737,Ecole fondamentale communale Tamaris n° 17
119,4833,Centre PMS de la Cocof 2,Rue du Meiboom,"14","1000",BRUXELLES,"02-800 86 77","02-800 86 82",ec004833@adm.cfwb.be,5982,Ecole fondamentale spécialisé Nos Pilifs
120,4833,Centre PMS de la Cocof 2,Rue du Meiboom,"14","1000",BRUXELLES,"02-800 86 77","02-800 86 82",ec004833@adm.cfwb.be,95259,Ecole Ados Pilifs
121,4833,Centre PMS de la Cocof 2,Rue du Meiboom,"14","1000",BRUXELLES,"02-800 86 77","02-800 86 82",ec004833@adm.cfwb.be,95261,Ecole La petite flûte enchantée
122,4833,Centre PMS de la Cocof 2,Rue du Meiboom,"14","1000",BRUXELLES,"02-800 86 77","02-800 86 82",ec004833@adm.cfwb.be,95317,Ecole maternelle communale  n° 15
123,4833,Centre PMS de la Cocof 2,Rue du Meiboom,"14","1000",BRUXELLES,"02-800 86 77","02-800 86 82",ec004833@adm.cfwb.be,95321,École Aux Petites Sources du Gai Savoir
124,4833,Centre PMS de la Cocof 2,Rue du Meiboom,"14","1000",BRUXELLES,"02-800 86 77","02-800 86 82",ec004833@adm.cfwb.be,95322,Ecole fondamentale communale
125,4833,Centre PMS de la Cocof 2,Rue du Meiboom,"14","1000",BRUXELLES,"02-800 86 77","02-800 86 82",ec004833@adm.cfwb.be,95323,Ecole fondamentale communale 'La Flûte enchantée'
126,4833,Centre PMS de la Cocof 2,Rue du Meiboom,"14","1000",BRUXELLES,"02-800 86 77","02-800 86 82",ec004833@adm.cfwb.be,95434,Ecole communale n°6
127,4833,Centre PMS de la Cocof 2,Rue du Meiboom,"14","1000",BRUXELLES,"02-800 86 77","02-800 86 82",ec004833@adm.cfwb.be,95499,Ecole secondaire Plurielle Karreveld
128,4833,Centre PMS de la Cocof 2,Rue du Meiboom,"14","1000",BRUXELLES,"02-800 86 77","02-800 86 82",ec004833@adm.cfwb.be,95500,Ecole Secondaire Plurielle Maritime
129,4835,Centre PMS communal de Schaerbeek 1,Rue Vifquin,"02","1030",SCHAERBEEK,"02-240 32 64","02-240 32 83",EC004835@ADM.CFWB.BE,395,Ecole fondamentale communale n°1
130,4835,Centre PMS communal de Schaerbeek 1,Rue Vifquin,"02","1030",SCHAERBEEK,"02-240 32 64","02-240 32 83",EC004835@ADM.CFWB.BE,396,Ecole primaire communale n°2
131,4835,Centre PMS communal de Schaerbeek 1,Rue Vifquin,"02","1030",SCHAERBEEK,"02-240 32 64","02-240 32 83",EC004835@ADM.CFWB.BE,397,Ecole primaire communale n°6 Georges Primo
132,4835,Centre PMS communal de Schaerbeek 1,Rue Vifquin,"02","1030",SCHAERBEEK,"02-240 32 64","02-240 32 83",EC004835@ADM.CFWB.BE,398,Ecole fondamentale communale n°10 Bois Dailly
133,4835,Centre PMS communal de Schaerbeek 1,Rue Vifquin,"02","1030",SCHAERBEEK,"02-240 32 64","02-240 32 83",EC004835@ADM.CFWB.BE,401,Ecole fondamentale n°14 - René Magritte
134,4835,Centre PMS communal de Schaerbeek 1,Rue Vifquin,"02","1030",SCHAERBEEK,"02-240 32 64","02-240 32 83",EC004835@ADM.CFWB.BE,403,Ecole fondamentale communale n°3
135,4835,Centre PMS communal de Schaerbeek 1,Rue Vifquin,"02","1030",SCHAERBEEK,"02-240 32 64","02-240 32 83",EC004835@ADM.CFWB.BE,405,Ecole fondamentale communale n°8 Frédéric de Jongh
136,4835,Centre PMS communal de Schaerbeek 1,Rue Vifquin,"02","1030",SCHAERBEEK,"02-240 32 64","02-240 32 83",EC004835@ADM.CFWB.BE,421,LYCEE COMMUNAL EMILE MAX
137,4835,Centre PMS communal de Schaerbeek 1,Rue Vifquin,"02","1030",SCHAERBEEK,"02-240 32 64","02-240 32 83",EC004835@ADM.CFWB.BE,429,INSTITUT COMMUNAL TECHNIQUE FRANS FISCHER
