"UNIE_OBJ_ID","UNIE_CODE","UNIE_NOM_LG","UNIE_ECTS","UNIE_DIPL","UNIE_DFER","NIFO_OBJ_ID","NIVE_OBJ_ID"
11098,"011213U21C1",ORIENTATION / GUIDANCE : REMISE A NIVEAU EN SCIENCES ET MATHEMATIQUES,"0",ATTESTATION DE REUSSITE,,9979,10137
11099,"011220U21D1",C2D - MATHEMATIQUES : NIVEAU 2,"0",ATTESTATION DE REUSSITE,,9979,10137
11100,"011301U31D1",MATHEMATIQUE 31-1,"10",ATTESTATION DE REUSSITE,"2023-12-31",9976,10144
11101,"011401U31D2",ABSTRACTION - MATHEMATIQUES,"23",ATTESTATION DE REUSSITE,"2024-12-31",9976,10144
11102,"012101U21D2",MATHEMATIQUES APPLIQUEES A L'INFORMATIQUE,"0",ATTESTATION DE REUSSITE,,9979,10137
11103,"012102U32D3",MATHEMATIQUES APPLIQUEES A L'INFORMATIQUE,"5",ATTESTATION DE REUSSITE,"2022-12-31",9976,10140
11104,"012102U32D4",MATHEMATIQUES APPLIQUEES A L'INFORMATIQUE,"5",ATTESTATION DE REUSSITE,,9976,10140
11105,"012201U21C1",MATHEMATIQUES - ORIENTATION MECANIQUE / ELECTRICITE,"0",ATTESTATION DE REUSSITE,"2021-12-31",9979,10137
11106,"012201U21Z1",OUTILS MATHEMATIQUES ET INFORMATIQUES UTILISES DANS L'ENTREPRISE VERRIERE - CONVENTION GLACERIES ST-ROCH,"0",ATTESTATION DE REUSSITE,,9979,10137
11107,"012205U11D1",MATHEMATIQUES APPLIQUEES AU DOMAINE TECHNIQUE,"0",ATTESTATION DE REUSSITE,,9978,10135
11108,"012205U11E1",MATHEMATIQUES APPLIQUEES AU DOMAINE TECHNIQUE,"0",ATTESTATION DE REUSSITE,,9978,10135
11109,"012205U21D1",MATHEMATIQUES : ORIENTATION TECHNIQUE - NIVEAU 1,"0",ATTESTATION DE REUSSITE,,9979,10137
11110,"012205U21D2",MATHEMATIQUES : ORIENTATION TECHNIQUE - NIVEAU 1,"0",ATTESTATION DE REUSSITE,,9979,10137
11111,"012205U21V1",MATHEMATIQUES APPLIQUEES AU DOMAINE TECHNIQUE (CONVENTION : C.P.N.A.E. - VOLET DEMANDEURS D'EMPLOI),"0",ATTESTATION DE REUSSITE,,9979,10137
11112,"012206U21D1",MATHEMATIQUES APPLIQUEES AU DOMAINE TECHNIQUE - NIVEAU 1,"0",ATTESTATION DE REUSSITE,,9979,10137
11113,"012206U21D2",MATHEMATIQUES APPLIQUEES AU DOMAINE TECHNIQUE - NIVEAU 1,"0",ATTESTATION DE REUSSITE,,9979,10137
11114,"012207U21D1",MATHEMATIQUES APPLIQUEES AU DOMAINE TECHNIQUE - NIVEAU 2,"0",ATTESTATION DE REUSSITE,,9979,10137
11115,"012207U21D2",MATHEMATIQUES APPLIQUEES AU DOMAINE TECHNIQUE - NIVEAU 2,"0",ATTESTATION DE REUSSITE,,9979,10137
11116,"012208U21D2",MATHEMATIQUES APPLIQUEES AU DOMAINE TECHNIQUE - NIVEAU 3,"0",ATTESTATION DE REUSSITE,,9979,10137
11117,"012209U21D1",MATHEMATIQUES : ORIENTATION TECHNIQUE - NIVEAU 2,"0",ATTESTATION DE REUSSITE,,9979,10137
11118,"012209U21D2",MATHEMATIQUES : ORIENTATION TECHNIQUE - NIVEAU 2,"0",ATTESTATION DE REUSSITE,,9979,10137
11119,"012221U21S1",CALCUL ET LABORATOIRE DE METROLOGIE,"0",ATTESTATION DE REUSSITE,"2023-12-31",9979,10137
11120,"012223U31D1",MATHEMATIQUE APPLIQUEE AU DOMAINE TECHNIQUE,"4",ATTESTATION DE REUSSITE,,9976,10144
11121,"012223U31D2",MATHEMATIQUE APPLIQUEE AU DOMAINE TECHNIQUE,"4",ATTESTATION DE REUSSITE,,9976,10144
11122,"012224U31D1",MATHEMATIQUES ET STATISTIQUE APPLIQUEES AU SECTEUR TECHNIQUE,"8",ATTESTATION DE REUSSITE,,9976,10144
11123,"012225U21X1",PROPEDEUTIQUE : MATHEMATIQUE - CONVENTION,"0",ATTESTATION DE REUSSITE,,9979,10137
11124,"012290U21W1",COMPLEMENT DE MATHEMATIQUES APPLIQUEES A LA TECHNIQUE - CONVENTION,"0",ATTESTATION DE REUSSITE,,9979,10137
11125,"012290U21Z1",COMPLEMENT DE MATHEMATIQUES APPLIQUEES A LA TECHNIQUE (CONVENTION),"0",ATTESTATION DE REUSSITE,,9979,10137
11126,"012301U21D1",MATHEMATIQUES APPLIQUEES,"0",ATTESTATION DE REUSSITE,,9979,10137
11127,"012310U21D1",MATHEMATIQUES APPLIQUEES AUX DOMAINES DU TRANSPORT ET DE LA LOGISTIQUE,"0",ATTESTATION DE REUSSITE,,9979,10137
11128,"012330U21D1",MATHEMATIQUE APPLIQUEE AU SECTEUR COMMERCIAL,"0",ATTESTATION DE REUSSITE,,9979,10137
11129,"012332U21C1",MATHEMATIQUES NIVEAU 32,"0",ATTESTATION DE REUSSITE,,9979,10137
11130,"012332U21E1",MATHEMATIQUES ORIENTEES N 32,"0",ATTESTATION DE REUSSITE,,9979,10137
11131,"012342U21C1",MATHEMATIQUES NIVEAU 42,"0",ATTESTATION DE REUSSITE,,9979,10137
11132,"012403U31C1",MATHEMATIQUES APPLIQUEES AUX SCIENCES NATURELLES,"0",ATTESTATION DE REUSSITE,,9976,10144
11133,"012404U31D1",FORMATION MATHEMATICO-SCIENTIFIQUE,"14",ATTESTATION DE REUSSITE,"2023-12-31",9976,10144
11134,"012501U31D1",MATHEMATIQUE APPLIQUEE A LA TOPOGRAPHIE - NIVEAU 1,"0",ATTESTATION DE REUSSITE,"2023-12-31",9976,10144
11135,"012501U31D2",MATHEMATIQUE APPLIQUEE A LA TOPOGRAPHIE,"6",ATTESTATION DE REUSSITE,,9976,10144
11136,"012502U31D1",MATHEMATIQUE APPLIQUEE A LA TOPOGRAPHIE - NIVEAU 2,"0",ATTESTATION DE REUSSITE,"2023-12-31",9976,10144
11137,"012502U31D2",STATISTIQUE ET CALCUL DES ERREURS APPLIQUES A LA TOPOGRAPHIE,"6",ATTESTATION DE REUSSITE,,9976,10144
11138,"012601U11E1",MATHEMATIQUES/SCIENCES:ORIENTATION PLAFONNEUR - CIMENTIER,"0",ATTESTATION DE REUSSITE,,9978,10135
11139,"012603U31D1",MATHEMATIQUES ORIENTEES CONSTRUCTION,"9",ATTESTATION DE REUSSITE,"2023-12-31",9976,10144
11140,"012603U31D2",MATHEMATIQUES ORIENTEES CONSTRUCTION,"9",ATTESTATION DE REUSSITE,,9976,10144
11141,"012701U33D1",BIOMETRIE,"5",ATTESTATION DE REUSSITE,"2022-12-31",9976,10139
11142,"012701U33D2",BIOMETRIE,"5",ATTESTATION DE REUSSITE,,9976,10139
11143,"013203U32D1",ELEMENTS DE STATISTIQUE,"3",ATTESTATION DE REUSSITE,,9976,10140
11144,"013203U32D2",ELEMENTS DE STATISTIQUE,"3",ATTESTATION DE REUSSITE,,9976,10140
11145,"013204U32D1",STATISTIQUE INFERENTIELLE,"3",ATTESTATION DE REUSSITE,,9976,10140
11146,"013204U32D2",STATISTIQUE INFERENTIELLE,"3",ATTESTATION DE REUSSITE,,9976,10140
11147,"013205U31E1",MATHEMATIQUES:UTILISATION D'UN LOGICIEL DE CALCUL SYMBOLIQUE,"0",ATTESTATION DE REUSSITE,,9976,10144
11148,"018101U11E1",APPLICATIONS MATHEMATIQUES 01-1,"0",ATTESTATION DE REUSSITE,,9978,10135
11149,"018102U11E1",APPLICATIONS MATHEMATIQUES 01-2,"0",ATTESTATION DE REUSSITE,,9978,10135
11150,"018103U21E1",APPLICATIONS MATHEMATIQUES NIVEAU 3,"0",ATTESTATION DE REUSSITE,,9979,10137
11151,"018103U21E2",APPLICATIONS MATHEMATIQUES 01-3,"0",ATTESTATION DE REUSSITE,,9979,10137
11152,"018104U21E1",APPLICATIONS MATHEMATIQUES NIVEAU 4,"0",ATTESTATION DE REUSSITE,,9979,10137
11153,"018104U21E2",APPLICATIONS MATHEMATIQUES 01-4,"0",ATTESTATION DE REUSSITE,,9979,10137
11154,"019102U11S1",REMEDIATION MATHEMATIQUE NIVEAU 2,"0",ATTESTATION DE REUSSITE,,9978,10135
11155,"019103U11F1",MATHEMATIQUES - REMISE A NIVEAU - CONNAISSANCES GENERALES,"0",ATTESTATION DE REUSSITE,,9978,10135
11156,"019201U21S1",REMEDIATION MATHEMATIQUE NIVEAU 3,"0",ATTESTATION DE REUSSITE,,9979,10137
11157,"019202U21S1",REMEDIATION MATHEMATIQUE NIVEAU 4,"0",ATTESTATION DE REUSSITE,,9979,10137
11158,"019203U21S1",REMISE A NIVEAU EN MATHEMATIQUES : NOTIONS DE BASE,"0",ATTESTATION DE REUSSITE,,9979,10137
11159,"019204U21S1",REMISE A NIVEAU EN MATHEMATIQUES : DERIVEES ET INTEGRALES,"0",ATTESTATION DE REUSSITE,,9979,10137
11160,"019205U21S1",REMISE A NIVEAU EN MATHEMATIQUES : STATISTIQUES ET PROBABILITES,"0",ATTESTATION DE REUSSITE,,9979,10137
11161,"019206U21S1","REMISE A NIVEAU EN MATHEMATIQUES : TRIGONOMETRIE, COMPLEMENTD'ALGEBRE ET NOMBRES COMPLEXES","0",ATTESTATION DE REUSSITE,,9979,10137
11162,"019207U21S1",REMISE A NIVEAU EN MATHEMATIQUES : ALGEBRE LINEAIRE ET GEOMETRIE ANALYTIQUE,"0",ATTESTATION DE REUSSITE,,9979,10137
11163,"019211U21C1",MATHEMATIQUE ET STATISTIQUE-REMISE A NIVEAU POUR ETUDIANTS DE L'ENSEIGNEMENT SUPERIEUR DE TYPE COURT A TENDANCE TERTIAIRE,"0",ATTESTATION DE REUSSITE,,9979,10137
11164,"019322U31Z1",PROBABILITES ET STATISTIQUES PREPARATOIRES A L'ENSEIGNEMENT SUPERIEUR TECHNIQUE DE TYPE LONG CONVENTION PROJET EUROFORM,"0",ATTESTATION DE REUSSITE,,9976,10144
11165,"019323U31Z1",MATHEMATIQUES PREPARATOIRES A L'ENSEIGNEMENT SUPERIEUR TECHNIQUE DE TYPE LONG (CONVENTION PROJET EUROFORM),"0",ATTESTATION DE REUSSITE,,9976,10144
11166,"019324U31S1",MATHEMATIQUE - ASSISTANCE,"0",ATTESTATION DE REUSSITE,,9976,10144
11167,"019325U21C1",PREPARATION MATHEMATIQUE POUR L'ENSEIGNEMENT SUPERIEUR TECHNIQUE DE TYPE COURT,"0",ATTESTATION DE REUSSITE,,9979,10137
11168,"019325U21S2",PREPARATION MATHEMATIQUE POUR L'ENSEIGNEMENT SUPERIEUR TECHNIQUE DE TYPE COURT,"0",ATTESTATION DE REUSSITE,,9979,10137
11169,"019326U31C1",PREPARATION MATHEMATIQUE POUR L'ENSEIGNEMENT SUPERIEUR TECHNIQUE DE TYPE LONG,"0",ATTESTATION DE REUSSITE,,9976,10144
11170,"019326U31S2",PREPARATION MATHEMATIQUE POUR L'ENSEIGNEMENT SUPERIEUR TECHNIQUE DE TYPE LONG,"0",ATTESTATION DE REUSSITE,,9976,10144
11171,"019399U31Y1",MISE A NIVEAU EN MATHEMATIQUES ET EN PHYSIQUE POUR L'ENSEIGNEMENT SUPERIEUR - CONVENTION,"0",ATTESTATION DE REUSSITE,,9976,10144
11172,"020101U11R1",APPROCHE DU MONDE SCIENTIFIQUE,"0",ATTESTATION DE REUSSITE,,9978,10135
11173,"020102U21E1",INITIATION SCIENTIFIQUE - SECTEUR INDUSTRIEL,"0",ATTESTATION DE REUSSITE,,9979,10137
11174,"020103U11D1",C2D - PREPARATION SCIENTIFIQUE,"0",ATTESTATION DE REUSSITE,,9978,10135
11175,"020103U21D1",COMPLEMENT DE FORMATION GENERALE : APPROCHE SCIENTIFIQUE,"0",ATTESTATION DE REUSSITE,,9979,10137
11176,"021102U33D1",BOTANIQUE,"6",ATTESTATION DE REUSSITE,,9976,10139
11177,"021110U21F1",PROPEDEUTIQUE BIOLOGIE,"0",ATTESTATION DE REUSSITE,,9979,10137
11178,"021120U31D1",MICROBIOLOGIE ET BACTERIOLOGIE,"12",ATTESTATION DE REUSSITE,,9976,10144
11179,"021121U21D1",C2D - BIOLOGIE,"0",ATTESTATION DE REUSSITE,,9979,10137
11180,"021121U31D1",ELEMENTS DE MICROBIOLOGIE,"3",ATTESTATION DE REUSSITE,,9976,10144
11181,"021122U31D1",MICROBIOLOGIE,"7",ATTESTATION DE REUSSITE,,9976,10144
11182,"021131U21D1",CESS : BIOLOGIE - PHYSIOLOGIE,"0",ATTESTATION DE REUSSITE,,9979,10137
11183,"021132U21D1",CESS : BIOLOGIE - EVOLUTION ET ECOLOGIE,"0",ATTESTATION DE REUSSITE,,9979,10137
11184,"021190U21X1",PROPEDEUTIQUE BIOLOGIE (CONVENTION),"0",ATTESTATION DE REUSSITE,,9979,10137
11185,"021201U31D2",ABSTRACTION - CHIMIE,"14",ATTESTATION DE REUSSITE,"2024-12-31",9976,10144
11186,"021202U21D2",ELEMENTS DE CHIMIE GENERALE,"0",ATTESTATION DE REUSSITE,,9979,10137
11187,"021202U31D1",CHIMIE GENERALE,"12",ATTESTATION DE REUSSITE,,9976,10144
11188,"021203U31D1",CHIMIE ORGANIQUE,"13",ATTESTATION DE REUSSITE,,9976,10144
11189,"021210U21F1",PROPEDEUTIQUE CHIMIE,"0",ATTESTATION DE REUSSITE,,9979,10137
11190,"021212U21Y2",PROPEDEUTIQUE CHIMIE (CONVENTION),"0",ATTESTATION DE REUSSITE,,9979,10137
11191,"021220U31D1",ELEMENTS DE CHIMIE ANALYTIQUE,"4",ATTESTATION DE REUSSITE,,9976,10144
11192,"021221U21D1",C2D - CHIMIE,"0",ATTESTATION DE REUSSITE,,9979,10137
11193,"021221U31D1",CHIMIE ANALYTIQUE INORGANIQUE,"9",ATTESTATION DE REUSSITE,,9976,10144
11194,"021223U31D1",CHIMIE ANALYTIQUE,"8",ATTESTATION DE REUSSITE,,9976,10144
11195,"021224U21X1",PROPEDEUTIQUE : CHIMIE - CONVENTION,"0",ATTESTATION DE REUSSITE,,9979,10137
11196,"021231U21D1",CESS : CHIMIE - NIVEAU 1,"0",ATTESTATION DE REUSSITE,,9979,10137
11197,"021232U21D1",CESS : CHIMIE - NIVEAU 2,"0",ATTESTATION DE REUSSITE,,9979,10137
11198,"021299U31Z1",CHIMIE - CONVENTION PROJET EUROFORM,"0",ATTESTATION DE REUSSITE,,9976,10144
11199,"021302U31D2",ABSTRACTION - PHYSIQUE,"23",ATTESTATION DE REUSSITE,"2024-12-31",9976,10144
11200,"021303U31D1",ELEMENTS DE CHIMIE PHYSIQUE,"4",ATTESTATION DE REUSSITE,,9976,10144
11201,"021304U31D1",CHIMIE PHYSIQUE,"3",ATTESTATION DE REUSSITE,,9976,10144
11202,"021305U21X1",PROPEDEUTIQUE : PHYSIQUE - CONVENTION,"0",ATTESTATION DE REUSSITE,,9979,10137
11203,"021310U21F1",PROPEDEUTIQUE PHYSIQUE,"0",ATTESTATION DE REUSSITE,,9979,10137
11204,"021312U21Y2",PROPEDEUTIQUE PHYSIQUE (CONVENTION),"0",ATTESTATION DE REUSSITE,,9979,10137
11205,"021321U21D1",C2D - PHYSIQUE,"0",ATTESTATION DE REUSSITE,,9979,10137
11206,"021331U21D1",CESS : PHYSIQUE - NIVEAU 1,"0",ATTESTATION DE REUSSITE,,9979,10137
11207,"021332U21D1",CESS : PHYSIQUE - NIVEAU 2,"0",ATTESTATION DE REUSSITE,,9979,10137
11208,"021430U32D1",GEOGRAPHIE TOURISTIQUE DE LA BELGIQUE,"4",ATTESTATION DE REUSSITE,,9976,10140
11209,"021431U32D1",GEOGRAPHIE TOURISTIQUE 1,"4",ATTESTATION DE REUSSITE,"2021-12-31",9976,10140
11210,"021431U32D2",GEOGRAPHIE TOURISTIQUE 1,"3",ATTESTATION DE REUSSITE,,9976,10140
11211,"021432U32D1",GEOGRAPHIE TOURISTIQUE 2,"3",ATTESTATION DE REUSSITE,"2021-12-31",9976,10140
11212,"021432U32D2",GEOGRAPHIE TOURISTIQUE 2,"5",ATTESTATION DE REUSSITE,,9976,10140
11213,"021433U21E1",ORIENTATION / GUIDANCE : PROPEDEUTIQUE - GEOGRAPHIE,"0",ATTESTATION DE REUSSITE,,9979,10137
11214,"021433U21X1","AGENT EN ACCUEIL ET TOURISME : ELEMENTS DE GEOGRAPHIE, DE PATRIMOINES ET DE CULTURES DU MONDE (CONVENTION)","0",ATTESTATION DE REUSSITE,,9979,10137
11215,"021433U32D1",NOTIONS DE GEOGRAPHIE ECONOMIQUE ET HUMAINE,"3",ATTESTATION DE REUSSITE,,9976,10140
11216,"021434U21X1",AGENT EN ACCUEIL ET TOURISME : RESSOURCES ET INFRASTRUCTURESTOURISTIQUES NATIONALES ET REGIONALES (CONVENTION),"0",ATTESTATION DE REUSSITE,,9979,10137
11217,"021503U21D1",COMPLEMENTS DE MATHEMATIQUES ET DE SCIENCES APPLIQUEES AU SECTEUR DU SERVICE AUX PERSONNES,"0",ATTESTATION DE REUSSITE,,9979,10137
11218,"021505U33D1",BIOLOGIE ANIMALE ET MICROBIOLOGIE,"10",ATTESTATION DE REUSSITE,,9976,10139
11219,"023201U31S1",CHIMIE - ASSISTANCE,"0",ATTESTATION DE REUSSITE,,9976,10144
11220,"023299U31Z1",MISE A NIVEAU EN CHIMIE ET EN BIOLOGIE POUR L'ENSEIGNEMENT SUPERIEUR (CONVENTION),"0",ATTESTATION DE REUSSITE,,9976,10144
11221,"023301U31S1",PHYSIQUE - ASSISTANCE,"0",ATTESTATION DE REUSSITE,,9976,10144
11222,"030102U21S1",REMEDIATION EN LANGUE FRANCAISE ASSISTEE PAR LE MULTIMEDIA,"0",ATTESTATION DE REUSSITE,,9979,10137
11223,"030103U11F1",FRANCAIS DE BASE : ATELIER DE LECTURE ET D'ECRITURE,"0",ATTESTATION DE REUSSITE,,9978,10135
11224,"030104U21S1",REMEDIATION EN FRANCAIS (NIVEAU 2),"0",ATTESTATION DE REUSSITE,,9979,10137
11225,"030105U11E1",FRANCAIS DE BASE,"0",ATTESTATION DE REUSSITE,,9978,10135
11226,"031001U11D1",ALPHABETISATION - NIVEAU 1,"0",ATTESTATION DE REUSSITE,,9978,10135
11227,"031001U11FA",ALPHABETISATION,"0",ATTESTATION DE REUSSITE,,9978,10135
11228,"031002U11D2",ALPHABETISATION - NIVEAU 2,"0",ATTESTATION DE REUSSITE,,9978,10135
11229,"031003U11D1",ALPHABETISATION - NIVEAU 3,"0",ATTESTATION DE REUSSITE,,9978,10135
11230,"031004U11D1",ALPHABETISATION - NIVEAU 4,"0",ATTESTATION DE REUSSITE,,9978,10135
11231,"031005U11D1",INSERTION SOCIALE - NIVEAU 1,"0",ATTESTATION DE REUSSITE,,9978,10135
11232,"031006U11D1",INSERTION SOCIALE - NIVEAU 2,"0",ATTESTATION DE REUSSITE,,9978,10135
11233,"031007U11D1",ALPHABETISATION - NIVEAU 1 A,"0",ATTESTATION DE REUSSITE,,9978,10135
11234,"031008U11D1",ALPHABETISATION - NIVEAU 1 B,"0",ATTESTATION DE REUSSITE,,9978,10135
11235,"031101U11Z1",APPRENTISSAGE DE LA LECTURE ET DE L'ECRITURE - NIVEAU 1 (CONVENTION),"0",ATTESTATION DE REUSSITE,,9978,10135
11236,"031102U11Z1",APPRENTISSAGE DE LA LECTURE ET DE L'ECRITURE - NIVEAU 2 (CONVENTION),"0",ATTESTATION DE REUSSITE,,9978,10135
11237,"031201U11R1",GUIDANCE/ORIENTATION : IDENTIFICATION DES COMPETENCES EN ECRITURE ET LECTURE FONCTIONNELLES,"0",ATTESTATION DE REUSSITE,,9978,10135
11238,"031202U11R1",COMPETENCES SOCIO-ECONOMIQUES : ATELIER DE LECTURE ET D'ECRITURE,"0",ATTESTATION DE REUSSITE,,9978,10135
11239,"031203U11R1",COMPETENCES TECHNICO-SCIENTIFIQUES : ATELIER DE LECTURE ET D'ECRITURE,"0",ATTESTATION DE REUSSITE,,9978,10135
11240,"031204U11R1",TECHNIQUES ACTIVES DE RECHERCHE D'EMPLOI : ATELIERS DE LECTURE ET D'ECRITURE,"0",ATTESTATION DE REUSSITE,,9978,10135
11241,"031205U11R1",GUIDANCE/ORIENTATION : GESTION D'UN PORTEFEUILLE DE COMPETENCES EN ECRITURE ET LECTURE FONCTIONNELLES,"0",ATTESTATION DE REUSSITE,,9978,10135
11242,"031207U11R1",GUIDANCE / ORIENTATION : GESTION D'UN PROCESSUS D'ALPHABETISATION EN MILIEU CARCERAL,"0",ATTESTATION DE REUSSITE,,9978,10135
11243,"031208U11R1",METHODES DE TRAVAIL APPLIQUEES AU DOMAINE DE LA COMMUNICATION PROFESSIONNELLE,"0",ATTESTATION DE REUSSITE,,9978,10135
11244,"031300U35D1",EPREUVE INTEGREE DE LA SECTION : BREVET D'ENSEIGNEMENT SUPERIEUR DE FORMATEUR EN ALPHABETISATION,"12",ATTESTATION DE REUSSITE,,9976,10143
11245,"031301U35D1",FORMATEUR EN ALPHABETISATION : APPROCHE DES RELATIONS INTERCULTURELLES,"5",ATTESTATION DE REUSSITE,,9976,10143
11246,"031302U35D1",FORMATEUR EN ALPHABETISATION : GESTION DE GROUPES,"7",ATTESTATION DE REUSSITE,,9976,10143
11247,"031303U35D1",FORMATEUR EN ALPHABETISATION : COMMUNICATION ECRITE ET ORALE,"10",ATTESTATION DE REUSSITE,,9976,10143
11248,"031304U35D1",FORMATEUR EN ALPHABETISATION : METHODOLOGIE DES TICE ET DES LANGAGES ARTISTIQUES,"10",ATTESTATION DE REUSSITE,,9976,10143
11249,"031305U35D1",FORMATEUR EN ALPHABETISATION : CONTEXTE INSTITUTIONNEL ET PROFESSIONNEL,"6",ATTESTATION DE REUSSITE,,9976,10143
11250,"031306U35D1",FORMATEUR EN ALPHABETISATION : CONSTRUCTION DE PROGRAMMES SPECIFIQUES,"10",ATTESTATION DE REUSSITE,,9976,10143
11251,"031307U35D1",FORMATEUR EN ALPHABETISATION : METHODOLOGIE APPLIQUEE,"14",ATTESTATION DE REUSSITE,,9976,10143
11252,"031308U35D1",FORMATEUR EN ALPHABETISATION : DECOUVERTE DU METIER,"3",ATTESTATION DE REUSSITE,,9976,10143
11253,"031309U35D1",FORMATEUR EN ALPHABETISATION : DIDACTIQUE APPLIQUEE A L'APPRENTISSAGE DES MATHEMATIQUES ELEMENTAIRES,"11",ATTESTATION DE REUSSITE,,9976,10143
11254,"031310U35D1",FORMATEUR EN ALPHABETISATION : DIDACTIQUE APPLIQUEE A L'APPRENTISSAGE DE LA LANGUE FRANCAISE,"16",ATTESTATION DE REUSSITE,,9976,10143
11255,"031311U35D1",FORMATEUR EN ALPHABETISATION : STAGE D'IMMERSION,"3",ATTESTATION DE REUSSITE,,9976,10143
11256,"031312U35D1",FORMATEUR EN ALPHABETISATION : STAGE D'INSERTION PROFESSIONNELLE,"5",ATTESTATION DE REUSSITE,,9976,10143
11257,"031313U35D1",FORMATEUR EN ALPHABETISATION : ACTIVITES PROFESSIONNELLES DE FORMATION,"8",ATTESTATION DE REUSSITE,,9976,10143
11258,"032003U21S1",ORIENTATION/GUIDANCE : REMEDIATION EN FRANCAIS,"0",ATTESTATION DE REUSSITE,,9979,10137
11259,"032004U11E1",ORIENTATION / GUIDANCE: FRANCAIS - EXPRESSION ORALE ET ECRITE - NIVEAU 1,"0",ATTESTATION DE REUSSITE,,9978,10135
11260,"032005U21E1",ORIENTATION / GUIDANCE : FRANCAIS EXPRESSION ORALE ET ECRITENIVEAU 2,"0",ATTESTATION DE REUSSITE,,9979,10137
11261,"032006U11D1",REMISE A NIVEAU : FRANCAIS - COMMUNICATION : CORRECTION PHONETIQUE,"0",ATTESTATION DE REUSSITE,,9978,10135
11262,"032007U11D1",REMISE A NIVEAU : FRANCAIS - CORRECTION A L'ECRIT : NIVEAU 1,"0",ATTESTATION DE REUSSITE,,9978,10135
11263,"032008U21D1",REMISE A NIVEAU : FRANCAIS - CORRECTION A L'ECRIT : NIVEAU 2,"0",ATTESTATION DE REUSSITE,,9979,10137
11264,"032009U21D1",REMISE A NIVEAU : FRANCAIS - CORRECTION A L'ECRIT : NIVEAU 3,"0",ATTESTATION DE REUSSITE,,9979,10137
11265,"033004U21E1",ORIENTATION / GUIDANCE : PROPEDEUTIQUE - FRANCAIS,"0",ATTESTATION DE REUSSITE,,9979,10137
11266,"033101U21R1",FRANCAIS ORIENTE - NIVEAU 3,"0",ATTESTATION DE REUSSITE,,9979,10137
11267,"033102U21R1",FRANCAIS ORIENTE - NIVEAU 4,"0",ATTESTATION DE REUSSITE,,9979,10137
11268,"033105U32D1",CORRESPONDANCE GENERALE,"3",ATTESTATION DE REUSSITE,,9976,10140
